Vertexes,Gr,GrSD,GrSA,
1,1.0,1.0,1.0,
2,1.0,1.0,1.0,
3,1.0,1.0,1.0,
4,1.3,1.2,1.3,
5,1.4,1.3,1.6,
6,1.25,1.2833333333333334,1.4333333333333333,
7,1.0,1.3185714285714287,1.12,
8,1.1842857142857144,1.1400000000000001,1.3189285714285712,
9,1.1058080808080808,1.1126262626262626,1.1998484848484847,
10,1.1961355311355313,1.1146336996336994,1.199725274725275,
11,1.1666806722689074,1.1802462037446557,1.2436624649859944,
12,1.1472932330827068,1.0989598997493732,1.1187218045112781,
13,1.0898789793137618,1.0841278866061477,1.0821672240802676,
14,1.1622562106043752,1.0875697865353038,1.118200381376132,
15,1.0849631274797307,1.0600203888984723,1.1283411419440832,
16,1.1481087098609566,1.087339208715974,1.1192340725171277,
17,1.0791760578484542,1.1102208995924872,1.1078713117014432,
18,1.1271297031303642,1.078596431315632,1.1287959429209105,
19,1.1114818448522357,1.1144699606274888,1.0712247908737809,
20,1.084498968299968,1.0969601399027127,1.1166063696805013,
21,1.1281868009151164,1.1030928739735362,1.1557866749677665,
22,1.1028226968641115,1.1184415859348547,1.1213273532414878,
23,1.0881162147957528,1.1207877594216566,1.0852552196540173,
24,1.0939498125665885,1.1158075414507098,1.0851438504850761,
25,1.1061860959237981,1.0828612978282306,1.0634648746232205,
26,1.0844338563038303,1.0670984133507757,1.098841265459773,
27,1.0875886660261682,1.0734501148000508,1.0845198740139594,
28,1.119818920786046,1.0812978408247278,1.0949221168445176,
29,1.1238024630294625,1.0881553904350356,1.1013789085025363,
30,1.0972902615948161,1.1049225268538494,1.1087568872218077,
