Vertexes,Gr,GrSD,GrSA,
1,1.0,1.0,1.0,
2,1.0,1.0,1.0,
3,1.0,1.0,1.0,
4,1.2,1.2,1.3,
5,1.0,1.2,1.1,
6,1.2583333333333335,1.0333333333333332,1.3083333333333331,
7,1.061904761904762,1.04,1.321904761904762,
8,1.0726190476190474,1.0410714285714284,1.2557539682539682,
9,1.1470707070707071,1.108975468975469,1.128888888888889,
10,1.1217532467532467,1.1005494505494506,1.1896103896103898,
11,1.1216993464052287,1.0589052287581697,1.143478906714201,
12,1.1249297262764757,1.0863209494324044,1.2248009730207872,
13,1.1527766291679336,1.016025641025641,1.151951758386541,
14,1.1944299889127477,1.0841401063814855,1.193093062748235,
15,1.1634314287281637,1.0422306557031413,1.2641707383327483,
16,1.064762100156837,1.0436740890688259,1.1576766084830603,
17,1.0803299491260052,1.0356109093005823,1.2070184024153927,
18,1.102230529799638,1.098167983355893,1.1436279849076025,
19,1.0570698129003158,1.056719754936403,1.1249870438380218,
20,1.1439611523676183,1.036430070696399,1.2368645859483502,
21,1.127162884726838,1.0374992186994638,1.2034074156454917,
22,1.0950798414617124,1.022976583395651,1.2413893144090138,
23,1.1189584816721159,1.0288882318154937,1.207176406725205,
24,1.1155704026078408,1.013087237719064,1.1781566666789136,
25,1.124675432654233,1.009490971781145,1.2005585964191519,
26,1.1002502182845793,1.011203350558927,1.1509404723266532,
27,1.0934948945389837,1.0016129032258063,1.2341534025923429,
28,1.0883171171495474,1.0100639246325531,1.153980030382349,
29,1.0928206358983334,1.041089607425011,1.195532523263097,
30,1.1088125804270508,1.026452597967451,1.1840938638779215,
