Vertexes,Gr,GrSD,GrSA,
1,1.0,1.0,1.0,
2,1.0,1.0,1.0,
3,1.0,1.0,1.0,
4,1.6,1.5,1.2,
5,1.2,1.1,1.2,
6,1.1666666666666667,1.4333333333333333,1.1666666666666667,
7,1.2833333333333334,1.2500000000000002,1.3833333333333333,
8,1.1607142857142858,1.1178571428571429,1.1970238095238095,
9,1.2045454545454546,1.1263636363636365,1.148181818181818,
10,1.2229120879120878,1.1129304029304028,1.1199467199467201,
11,1.15047385620915,1.1465032679738563,1.1228151260504202,
12,1.172328168907116,1.0783834586466166,1.1453045492519176,
13,1.1523344481605353,1.1166421404682274,1.1597190635451504,
14,1.1652908491006377,1.1306599744753247,1.1623282121001808,
15,1.1131105053709418,1.0709302081906444,1.1125389139169974,
16,1.0816396526024252,1.0893240135987248,1.117046885506449,
17,1.0994305517177858,1.107263641575863,1.1212148397811437,
18,1.088129651363558,1.08715510011015,1.1287930945200644,
19,1.0858621264221882,1.0820510725013488,1.119826867922104,
20,1.0816620488469824,1.0918499507410089,1.0783872278449176,
21,1.0985669778362177,1.1096088436789597,1.1410533084801222,
22,1.1204630927539079,1.0931254509849466,1.1138694503540314,
23,1.1180174544875796,1.0825496513642328,1.1125462659026262,
24,1.1210869426199919,1.079974158743061,1.1085303477060928,
25,1.1238758788045529,1.061515825217151,1.1020601427525132,
