Vertexes,Gr,GrSD,GrSA,
1,1.0,1.0,1.0,
2,1.0,1.0,1.0,
3,1.0,1.0,1.0,
4,1.2,1.2,1.5,
5,1.0,1.0,1.7,
6,1.2583333333333333,1.0916666666666666,1.1833333333333333,
7,1.1352380952380954,1.141904761904762,1.2252380952380955,
8,1.105357142857143,1.1307539682539682,1.2065476190476192,
9,1.2174675324675324,1.1458080808080808,1.409949494949495,
10,1.1184798534798535,1.1303113553113553,1.2556593406593408,
11,1.1200980392156863,1.1687091503267975,1.2186274509803923,
12,1.120530113161692,1.1156239082554873,1.178830789093947,
13,1.17303748747227,1.116708602186863,1.109560454038715,
14,1.1071279302105221,1.1493838060808304,1.1607538726156637,
15,1.0869679993209405,1.1226092861386978,1.1155088702147526,
16,1.1163063498333075,1.0974129507634,1.1849579742038023,
17,1.1098253162050677,1.1220658662809557,1.1361225157677626,
18,1.1388448851748494,1.121843321454746,1.1388170274942655,
19,1.100521927033432,1.0499731721365726,1.0839453360071567,
20,1.1248007728535794,1.0989664260409717,1.1246466866601925,
21,1.1288584865079683,1.0981253906060744,1.1019674884199047,
22,1.092888047774926,1.0847281536810882,1.1058732848906363,
23,1.0909154570181574,1.083150727519637,1.1195367659358848,
24,1.088041748517589,1.0821773027392776,1.105033874155723,
25,1.0946411885138847,1.0986286186217176,1.1190492479414296,
