Vertexes,Gr,GrSD,GrSA,
1,1.0,1.0,1.0,
2,1.0,1.0,1.0,
3,1.0,1.0,1.0,
4,1.2,1.2,1.4,
5,1.0,1.0,1.3,
6,1.225,1.0916666666666666,1.2916666666666667,
7,1.2633333333333332,1.1133333333333335,1.2799999999999998,
8,1.137857142857143,1.075357142857143,1.2588095238095238,
9,1.094949494949495,1.098989898989899,1.2119191919191918,
10,1.1304001554001553,1.0410256410256409,1.2218337218337216,
11,1.1800350140056022,1.074264705882353,1.2283995416348357,
12,1.1920558973190551,1.0545454545454545,1.1657477025898078,
13,1.1120474308300394,1.0732265446224258,1.201691491574787,
14,1.1799681508452122,1.0320197044334976,1.2141362057066707,
15,1.1276311976603968,1.0766001110828696,1.1886388575348532,
16,1.1292261977788294,1.047109761583446,1.2094780511885774,
17,1.109123989651617,1.008248299319728,1.2490045921557111,
18,1.1664436952419066,1.0545005833973646,1.165631663911083,
19,1.0973809258405876,1.0356112852664576,1.1969923044857982,
20,1.09096025566273,1.0312643941699906,1.2473655228216551,
21,1.0977101404413099,1.0460214704228998,1.1890018616404627,
22,1.0830098701577022,1.0168428112219372,1.1414933880936358,
23,1.0989299164287294,1.018930204663279,1.1836144410708787,
24,1.107519353027555,1.010687638489434,1.1603399980851805,
25,1.0741251524912054,1.0414142852227324,1.2296514295371166,
