Vertices,Gr,GrSD,GrSA,
1,1.0,1.0,1.0,
2,1.0,1.0,1.0,
3,1.0,1.0,1.0,
4,1.0,1.023,1.184,
5,1.0,1.030666666666667,1.1705000000000005,
6,1.0,0.9995166666666654,1.1337333333333326,
7,1.0,1.0050999999999992,1.0865539682539678,
8,1.0,0.9839794733044736,1.0663231240981235,
9,1.0,0.9934876484626477,1.0464825840825815,
10,1.0,0.9822859330384102,1.0417094134623555,
11,1.0,0.9796819182798934,1.0376764380894368,
12,1.0,0.9792022393824016,1.0328844615058603,
13,1.0,0.9777688516841028,1.02902909411037,
14,1.0,0.9772764559436016,1.023446525252085,
15,1.0,0.9725559338416611,1.027805936981636,
16,1.0,0.9655864383804122,1.0202738385840802,
17,1.0,0.9760804173303044,1.0226689321744458,
18,1.0,0.9706500610450057,1.0249476809297178,
19,1.0,0.9693508482689353,1.0239493703560372,
20,1.0,0.9723566568630162,1.0249308978019562,
21,1.0,0.9666307775506151,1.0210901393590819,
22,1.0,0.9710159186781204,1.0199012948130788,
23,1.0,0.9710368458625525,1.0216246370607727,
24,1.0,0.9673299981188813,1.0183890426511588,
25,1.0,0.970589448580233,1.020418282079634,
26,1.0,0.9720875138849306,1.0194072863419854,
27,1.0,0.969583365844018,1.0221163763993872,
28,1.0,0.9659854407223039,1.019225584829456,
29,1.0,0.9688929396479741,1.0186595386242523,
30,1.0,0.9664278326624111,1.0174461694501216,
31,1.0,0.9671525705677162,1.0158836307762122,
32,1.0,0.9652741401938688,1.0150225953243368,
33,1.0,0.9607942328821535,1.0156355861110753,
34,1.0,0.9663413958045621,1.017349908069116,
35,1.0,0.9617702244373612,1.0152836410629478,
36,1.0,0.9648676180822322,1.0175698815385785,
37,1.0,0.9637448697250204,1.0168456051465775,
38,1.0,0.96716835586854,1.0192529049076107,
39,1.0,0.9616668669321525,1.0184671247269277,
40,1.0,0.9632262528897857,1.0199426887852998,
41,1.0,0.9652440079231933,1.0203607452141494,
42,1.0,0.9624833106235241,1.019514305580781,
43,1.0,0.9622294176151507,1.0159694019743086,
44,1.0,0.9619037433645177,1.020533615145033,
45,1.0,0.961895034581174,1.0201811959005556,
46,1.0,0.962212948209863,1.0213280511812834,
47,1.0,0.9609805138432053,1.0186348562824734,
48,1.0,0.9594391732973228,1.0195467959404594,
49,1.0,0.9597080892776942,1.023798483208607,
50,1.0,0.9577433847781093,1.0179754971801527,
51,1.0,0.960436090704544,1.0210229598504423,
52,1.0,0.9610283720213596,1.0204178361025311,
53,1.0,0.9589767470883384,1.019619246833029,
54,1.0,0.9586895111042723,1.0208217735432221,
55,1.0,0.9571619219583515,1.0204115919425136,
56,1.0,0.9586079574562405,1.0211413105365115,
57,1.0,0.9591316357159816,1.022053331677688,
58,1.0,0.95709267165064,1.021664497012093,
59,1.0,0.9582698009853081,1.0210345903887634,
60,1.0,0.9565759191391929,1.0219937786150146,
61,1.0,0.9561796072274086,1.0220028564371164,
62,1.0,0.9587329800769518,1.022372797658374,
63,1.0,0.9543673777842906,1.0218392402717225,
64,1.0,0.9548931532333416,1.0219174633633916,
65,1.0,0.956118103544106,1.0221183912418612,
66,1.0,0.9555420052423472,1.0231526312662702,
67,1.0,0.9550400239438219,1.0229752668554573,
68,1.0,0.9569365140356951,1.0239082601255047,
69,1.0,0.9570030803890685,1.0244377264380589,
70,1.0,0.9548756467407531,1.0236436983073791,
71,1.0,0.9531136363650623,1.0232339983046868,
72,1.0,0.9532375615858214,1.0217739242463855,
73,1.0,0.9549547178327487,1.0243324422793534,
74,1.0,0.9512028217727858,1.0229177929633475,
75,1.0,0.9535064484549628,1.0243973700126177,
76,1.0,0.9534805458038342,1.0247725021271263,
77,1.0,0.9505144611659986,1.0248757168892924,
78,1.0,0.9535046620386067,1.0242576424545666,
79,1.0,0.9514800612051857,1.0253597436517983,
80,1.0,0.9495764422903382,1.0243047156078509,
81,1.0,0.9516385600937397,1.0271763662678384,
82,1.0,0.9499369956405114,1.0259221773488059,
83,1.0,0.9528013300258208,1.0267986111583973,
84,1.0,0.9481721893400648,1.0247443615663365,
85,1.0,0.9515324610609597,1.0261701507374905,
86,1.0,0.947292866261188,1.024148828857124,
87,1.0,0.9489261492042436,1.0260129620407448,
88,1.0,0.9482434601080559,1.025860829291299,
89,1.0,0.9484975370597375,1.0263077994853707,
90,1.0,0.9493344612262189,1.027981787063011,
91,1.0,0.9507489591528343,1.0283315000427422,
92,1.0,0.9504230917321197,1.0277703108081044,
93,1.0,0.9493428395550543,1.0274531908980704,
94,1.0,0.951678777904245,1.0306642217180786,
95,1.0,0.9477100613137579,1.0277244489445598,
96,1.0,0.9478990566774239,1.0280813363622134,
97,1.0,0.9498843544398704,1.0293969203057278,
98,1.0,0.948413607317163,1.0293325424773934,
99,1.0,0.9473285286621766,1.0282967392639453,
100,1.0,0.946533008175081,1.0282123111375165,
