Vertices,Gr,GrSD,GrSA,
1,1.0,1.0,1.0,
2,1.0,1.0,1.0,
3,1.0,1.0,1.0,
4,1.0,0.9365,1.2855,
5,1.0,0.9700000000000001,1.097,
6,1.0,0.9567166666666657,1.1159166666666736,
7,1.0,0.9855000000000012,1.059123809523813,
8,1.0,0.9743254329004319,1.0596533910533907,
9,1.0,0.9862133533133536,1.0531348429348426,
10,1.0,0.9749019037979598,1.0483464772413682,
11,1.0,0.9839449340238147,1.04052412991325,
12,1.0,0.976185757509613,1.0372874593888106,
13,1.0,0.9815033956348792,1.0337448182609084,
14,1.0,0.9777712427045276,1.035889535595952,
15,1.0,0.9811955308527712,1.0258207659086922,
16,1.0,0.9770315141684032,1.0263919346134893,
17,1.0,0.9821494880856597,1.0273211330949223,
18,1.0,0.9799188558138113,1.0232376540874422,
19,1.0,0.9835430493232432,1.0231494025651513,
20,1.0,0.9845155694239539,1.0225018736450238,
21,1.0,0.9835734631655807,1.019988162095156,
22,1.0,0.9819601694666026,1.0207870631164806,
23,1.0,0.9862505510614312,1.017812210178442,
24,1.0,0.9852134113144371,1.0175290231021923,
25,1.0,0.9873297110432234,1.018137699291036,
26,1.0,0.9881985688148326,1.0169175739472194,
27,1.0,0.9899906621639625,1.017647851223786,
28,1.0,0.9886639789545004,1.0165180088608892,
29,1.0,0.9905512426843596,1.0178769575880597,
30,1.0,0.9891703126605347,1.0144711010370329,
31,1.0,0.9923898165951298,1.0150112297265286,
32,1.0,0.9891218500050781,1.0138347796460527,
33,1.0,0.9888218729872134,1.011969579470105,
34,1.0,0.9920857927735672,1.0145365117563532,
35,1.0,0.9909767417750871,1.01302534324834,
36,1.0,0.9902020369888164,1.0110935812049227,
37,1.0,0.993337584305712,1.0134418957551679,
38,1.0,0.9912505428762745,1.0124714858263997,
39,1.0,0.9929056455219664,1.010314788664378,
40,1.0,0.9923235921340818,1.011205323788961,
41,1.0,0.9921020484669192,1.0099635757840069,
42,1.0,0.992176817059551,1.0100737411253566,
43,1.0,0.9938312941332077,1.0105815180773285,
44,1.0,0.9928728825040718,1.0091483047046164,
45,1.0,0.9927507981679758,1.0095742830280872,
46,1.0,0.9931115864557242,1.008355649784892,
47,1.0,0.993590567393681,1.0090512160674021,
48,1.0,0.9926924468648043,1.0087222026561888,
49,1.0,0.9945796640813904,1.0093915414337373,
50,1.0,0.9934996242138209,1.0082134173342563,
51,1.0,0.9941424491659934,1.0084550936687848,
52,1.0,0.9946377624711964,1.0087359059452021,
53,1.0,0.994305591113432,1.0076137454673804,
54,1.0,0.9952652815374322,1.0077881332491978,
55,1.0,0.9950849562662876,1.0074222244430653,
56,1.0,0.9942321337617754,1.007123418307139,
57,1.0,0.9944591203967542,1.0072913242223105,
58,1.0,0.9945466669291169,1.0073579373640327,
59,1.0,0.9946026624644518,1.0067383838341788,
60,1.0,0.9946861821972337,1.0064274085148062,
61,1.0,0.9966116974108508,1.0072068184871081,
62,1.0,0.9955016790553125,1.0068096666595654,
63,1.0,0.9951998731408189,1.0064354314937838,
64,1.0,0.9954888729033089,1.0072129191753187,
65,1.0,0.9955841924501018,1.0062368996241466,
66,1.0,0.9958997553395881,1.0058244273042738,
67,1.0,0.9956865992023819,1.0062840246335554,
68,1.0,0.9956088254028852,1.0061474118183649,
69,1.0,0.9959993106363324,1.0062758740428912,
70,1.0,0.9954955222965014,1.0049136427556258,
71,1.0,0.9958765172712587,1.0061052703413769,
72,1.0,0.995682208364688,1.0055427011817142,
73,1.0,0.996077992163989,1.0051353440684851,
74,1.0,0.9954624817316549,1.005157987411346,
75,1.0,0.9954207065133116,1.0045498262989014,
76,1.0,0.995936383346221,1.005304982940925,
77,1.0,0.995669746852875,1.0051004768056588,
78,1.0,0.9962243603344828,1.0048999250000883,
79,1.0,0.9964497310654756,1.0054986097498082,
80,1.0,0.9959785626573042,1.0048361891067812,
81,1.0,0.9963119254197192,1.0046517328513722,
82,1.0,0.9961707738489821,1.0046517141968827,
83,1.0,0.9969086882334462,1.0051058329424112,
84,1.0,0.9964598427594917,1.004804254745757,
85,1.0,0.9962627235936581,1.0041017634322427,
86,1.0,0.9964314472491502,1.0043687913250485,
87,1.0,0.9958529329705821,1.004521738522392,
88,1.0,0.996472541715756,1.0046169289480835,
89,1.0,0.9966341198770485,1.0044636027424592,
90,1.0,0.9973190804333658,1.0042922721949523,
91,1.0,0.9965317510780028,1.0039652577119311,
92,1.0,0.9973262932779682,1.0040948565886778,
93,1.0,0.9968016603180856,1.0037692839089127,
94,1.0,0.9967134001129135,1.0039063768891683,
95,1.0,0.9974453556493184,1.0043952424256983,
96,1.0,0.9967230428756921,1.004079529802577,
97,1.0,0.9972471449866583,1.0042116451889371,
98,1.0,0.9967591104033239,1.0040083128398023,
99,1.0,0.9968111269183518,1.0038431442025177,
100,1.0,0.9968569999764814,1.003765868842219,
