Vertexes,Gr,GrLE,GrL,
1,1.0,1.0,1.0,
2,1.0,1.0,1.0,
3,1.0,1.0,1.0,
4,0.6666666666666666,0.6666666666666666,0.6666666666666666,
5,1.0,1.0,1.0,
6,0.8,0.8,0.8,
7,1.3333333333333333,1.0,1.0,
8,1.0,1.0,1.0,
9,1.0,1.0,1.0,
10,1.0666666666666667,0.9333333333333333,0.9333333333333333,
11,1.105263157894737,0.8947368421052632,0.8947368421052632,
12,1.0,0.9583333333333334,0.9583333333333334,
13,0.9310344827586207,0.7931034482758621,0.9310344827586207,
14,0.9705882352941176,0.8823529411764706,0.8823529411764706,
15,0.9024390243902439,0.8536585365853658,0.8536585365853658,
16,1.0,0.8809523809523809,0.8809523809523809,
17,0.96,0.96,0.96,
18,0.9322033898305084,0.8983050847457628,0.8983050847457628,
19,0.9705882352941176,0.9117647058823529,0.9117647058823529,
20,0.975,0.875,0.825,
21,1.1012658227848102,1.1012658227848102,0.9240506329113924,
22,0.9247311827956989,0.9139784946236559,0.8924731182795699,
23,0.9626168224299065,0.9065420560747663,0.8878504672897196,
24,0.897196261682243,0.897196261682243,0.9719626168224299,
25,0.9692307692307692,0.8615384615384616,0.8461538461538461,
26,0.8962962962962963,0.8740740740740741,0.8740740740740741,
27,1.0277777777777777,0.9444444444444444,0.9444444444444444,
28,0.9308176100628931,0.8930817610062893,0.8805031446540881,
29,0.9534883720930233,0.9418604651162791,0.8837209302325582,
30,0.945054945054945,0.8901098901098901,0.8956043956043956,
31,0.9310344827586207,0.9014778325123153,0.8916256157635468,
32,0.9209302325581395,0.9023255813953488,0.8930232558139535,
33,0.973568281938326,0.9118942731277533,0.9118942731277533,
34,0.8984375,0.8515625,0.8828125,
35,0.9307692307692308,0.8692307692307693,0.8692307692307693,
36,0.9669117647058824,0.9191176470588235,0.8970588235294118,
37,0.9790940766550522,0.9303135888501742,0.8954703832752613,
38,0.946843853820598,0.9269102990033222,0.9036544850498339,
39,0.9341317365269461,0.874251497005988,0.874251497005988,
40,0.9173789173789174,0.8575498575498576,0.8575498575498576,
41,0.9617486338797814,0.907103825136612,0.8961748633879781,
42,1.005464480874317,0.9699453551912568,0.9316939890710383,
43,0.9134615384615384,0.9134615384615384,0.8798076923076923,
44,0.9282407407407407,0.8703703703703703,0.8680555555555556,
45,0.9035087719298246,0.9035087719298246,0.868421052631579,
46,0.9543478260869566,0.9217391304347826,0.9108695652173913,
47,0.9628099173553719,0.9421487603305785,0.9173553719008265,
48,0.9479768786127167,0.8921001926782274,0.8728323699421965,
49,0.924187725631769,0.9061371841155235,0.8700361010830325,
50,0.9084628670120898,0.8860103626943006,0.8704663212435233,
51,0.9435626102292769,0.9259259259259259,0.9259259259259259,
52,0.9530744336569579,0.8996763754045307,0.8802588996763754,
53,0.948051948051948,0.9318181818181818,0.9285714285714286,
54,0.9390243902439024,0.8902439024390244,0.8810975609756098,
55,0.9817905918057663,0.9423368740515933,0.9180576631259484,
56,0.9329608938547486,0.8980446927374302,0.8924581005586593,
57,0.9098143236074271,0.8885941644562334,0.8806366047745358,
58,0.9162371134020618,0.8981958762886598,0.8788659793814433,
59,0.934010152284264,0.9111675126903553,0.9111675126903553,
60,0.9098457888493475,0.8837485172004745,0.8695136417556346,
61,0.9107551487414187,0.88558352402746,0.8787185354691075,
62,0.9165739710789766,0.8898776418242491,0.8776418242491657,
63,0.9114470842332614,0.8941684665226782,0.8790496760259179,
64,0.9462025316455697,0.9156118143459916,0.8924050632911392,
65,0.916919959473151,0.916919959473151,0.8966565349544073,
66,0.9331983805668016,0.9240890688259109,0.9038461538461539,
67,0.94140625,0.916015625,0.890625,
68,0.9322191272051996,0.89322191272052,0.8820798514391829,
69,0.9177837354781054,0.8999106344950849,0.8873994638069705,
70,0.9080756013745704,0.8874570446735395,0.8883161512027491,
71,0.9161073825503355,0.889261744966443,0.9010067114093959,
72,0.9076797385620915,0.8937908496732027,0.8905228758169934,
73,0.9048387096774193,0.9032258064516129,0.8790322580645161,
74,0.9241960183767228,0.8958652373660031,0.8805513016845329,
75,0.944954128440367,0.9128440366972477,0.908256880733945,
76,0.9295671313279531,0.8914159941305942,0.8892149669845928,
77,0.9314285714285714,0.9185714285714286,0.9,
78,0.9097174362508614,0.8828394210889042,0.8766368022053757,
79,0.9401767505098573,0.9279401767505099,0.8830727396329028,
80,0.9337837837837838,0.9087837837837838,0.904054054054054,
81,0.9146735617323852,0.9004524886877828,0.903038138332256,
82,0.918444165621079,0.9015056461731493,0.8996235884567126,
83,0.9321824907521579,0.8939580764488286,0.8865598027127004,
84,0.929171668667467,0.9093637454981993,0.89015606242497,
85,0.925754060324826,0.8921113689095128,0.9025522041763341,
86,0.9144324015972618,0.905875641756988,0.8967484312606959,
87,0.912707182320442,0.8906077348066298,0.8939226519337017,
88,0.940854326396495,0.9140197152245345,0.9019715224534501,
89,0.9329787234042554,0.9234042553191489,0.8936170212765957,
90,0.9301719645648775,0.9134966128191766,0.9046378322042731,
91,0.9450661241098678,0.9206510681586979,0.9033570701932858,
92,0.9322865554465162,0.8915603532875368,0.8900883218842002,
93,0.9125420470927439,0.8923594425756848,0.8913983661701105,
94,0.9407831900668577,0.9169054441260746,0.8954154727793696,
95,0.9298569450853715,0.9086294416243654,0.8975542224273189,
96,0.9256421811626859,0.8913925191527715,0.8972510139702569,
97,0.9324144064028457,0.9101823032458871,0.9066251667407736,
