Vertices,Gr,GrSD,GrSA,
1,1.0,1.0,1.0,
2,1.0,1.0,1.0,
3,1.0,1.0,1.0,
4,1.0,0.995,1.335,
5,1.0,1.0366666666666666,1.29,
6,1.0,1.0709999999999997,1.2186666666666666,
7,1.0,0.9964761904761902,1.0862857142857143,
8,1.0,1.0317020202020204,1.0559538239538244,
9,1.0,0.9873534243534242,1.033911144411145,
10,1.0,0.9785050136052453,1.0429935295612538,
11,1.0,1.0190393012761902,1.0355127998241271,
12,1.0,0.9945859239053173,1.0488180442714536,
13,1.0,1.0119127203218037,1.0365274591727354,
14,1.0,0.9930742031038651,1.0433133131580008,
15,1.0,1.0119519211759207,1.0304135449732887,
16,1.0,1.0221669668339146,1.0569157749599736,
17,1.0,1.0001501226239078,1.0211251224219149,
18,1.0,0.9981499199535329,1.0251267045682437,
19,1.0,1.003095019990951,1.0260043560583123,
20,1.0,1.0055281138365573,1.0217221257482547,
21,1.0,0.9853097371584889,1.0044994478575597,
22,1.0,1.007084304775849,1.0302703572183352,
23,1.0,0.991473661647069,1.0148323680293494,
24,1.0,1.00305371263815,1.008298903050507,
25,1.0,1.0028584630934632,1.0177768001391652,
26,1.0,0.9964072249358406,1.0076050661528024,
27,1.0,1.0032926549033847,1.0101332459404793,
28,1.0,0.9928371116731475,1.0101395710199563,
29,1.0,1.0010565200398212,1.007880982694439,
30,1.0,1.0052020782361664,1.0093249753899156,
31,1.0,0.9945019681933144,1.0026856696097586,
32,1.0,0.9957191530653828,0.9994544730771869,
33,1.0,0.9941364637806557,1.0106475029965358,
34,1.0,0.9959768475270727,1.0070410055861456,
35,1.0,0.9993891193892748,1.005338726810556,
36,1.0,0.9938467544760158,1.0104230230597329,
37,1.0,1.0007628458114237,1.006086624288494,
38,1.0,0.9998747368385605,1.0027063759034929,
39,1.0,0.9959982003623545,1.0085091377900113,
40,1.0,1.0008224496479725,1.0064273124075447,
41,1.0,0.9947662312478106,1.003440286785126,
42,1.0,1.0006521791792002,1.0063108141418868,
43,1.0,0.9992850141890888,1.0096430812853585,
44,1.0,0.9977981679915375,1.007312507157622,
45,1.0,1.0032888843888053,1.0082111848802437,
46,1.0,1.0013323818260575,1.0034753237697995,
47,1.0,0.9998839795479674,1.0067450831708298,
48,1.0,0.9986596256267046,0.9974316203713185,
49,1.0,0.9980023365430931,1.0062778068433853,
50,1.0,0.9975488006657389,1.0008146574901007,
51,1.0,1.0022378930642855,1.006602097781136,
52,1.0,1.000601868768696,1.0078097952673324,
53,1.0,0.9957796768387166,1.0033933394313543,
54,1.0,0.9987221858171274,1.0053898802619758,
55,1.0,0.9965300825375627,1.0032734060487298,
56,1.0,0.9982322032572885,1.0050159097879914,
57,1.0,1.0032721625765186,1.0089137934230352,
58,1.0,0.999985386890989,1.0023691620101403,
59,1.0,0.9951000376854633,1.0033794835436325,
60,1.0,0.999893525208468,1.0037110002918355,
61,1.0,0.9983104340418073,1.0018803250837176,
62,1.0,0.9964677755737357,0.9971597983645808,
63,1.0,1.0020277624092926,1.005904186666308,
64,1.0,0.9941153957515418,1.0003376254609873,
65,1.0,0.9981228043636675,1.0046552283733545,
66,1.0,0.9985744011776998,1.003866925791527,
67,1.0,0.9972858669506244,1.0022441599671352,
68,1.0,1.001787491017214,1.0018611479950021,
69,1.0,0.9982472060161856,1.0017623298705016,
70,1.0,0.9983051493236402,1.0031237874605003,
71,1.0,0.9962663814572359,1.0021395798091541,
72,1.0,0.9986377166264653,1.0030264441804124,
73,1.0,1.001432204677098,1.0044979105681033,
74,1.0,0.9968130174793806,1.0018660996523636,
75,1.0,0.998203671969132,1.0029902494398286,
76,1.0,0.9972854352027422,1.0022297219135992,
77,1.0,0.999652596035764,1.002121632308654,
78,1.0,0.9981651863784994,1.0041730748998434,
79,1.0,1.0014695930877267,1.003447983968642,
80,1.0,0.9995479142066611,1.0026237004520853,
81,1.0,0.9982610033525018,1.0033352097232664,
82,1.0,0.9975304636076361,1.0029416833029057,
83,1.0,1.0001450886231213,1.001753370129247,
84,1.0,0.9998639542700607,1.0024669673104887,
85,1.0,1.0009129780346522,1.0036150786112834,
86,1.0,0.9995286512819672,1.0015088398523857,
87,1.0,1.0009895424914559,1.0036083642364906,
88,1.0,0.9974979493389049,1.0017772460580558,
89,1.0,0.9967815442367997,1.0019604999527383,
90,1.0,0.998140230619545,1.0015166591997262,
91,1.0,1.0003041132135453,1.0030192378891198,
92,1.0,0.9994132177932687,1.003578848399254,
93,1.0,0.9994182524037326,1.0010565911999343,
94,1.0,0.9994320479068365,1.0021069675492236,
95,1.0,0.9975582123382641,1.002906128610783,
96,1.0,0.9984990888994115,1.0009521504431704,
97,1.0,1.0021994344067287,1.0047656571666679,
98,1.0,0.9984929202441997,1.0020447903834222,
99,1.0,0.9984105420260393,1.0021581974312626,
100,1.0,1.0007119394982176,1.003279105460854,
