Vertexes,Gr,GrSD,GrSA,
1,1.0,1.0,1.0,
2,1.0,1.0,1.0,
3,1.0,1.0,1.0,
4,1.25,1.11,1.54,
5,1.13,1.16,1.39,
6,1.2086666666666668,1.1733333333333333,1.3708333333333333,
7,1.1515238095238098,1.1585238095238097,1.2240952380952381,
8,1.1937658730158731,1.1634801587301586,1.2829126984126986,
9,1.1599595959595965,1.1341969696969705,1.2116192696192705,
10,1.1510847485847489,1.1166556776556777,1.1811618381618383,
11,1.1231984391597403,1.1049066321535372,1.1638192105452176,
12,1.13070199533943,1.1085694366506051,1.1725118511033847,
13,1.1075684743597787,1.1418293448902137,1.145057260774652,
14,1.130694097947741,1.1168382882587276,1.1846999034521275,
15,1.11373609604728,1.10582705942512,1.1254012922375933,
16,1.1136129033645086,1.1116386550100092,1.1329964858922756,
17,1.1055539197896038,1.111849792791833,1.1392839377663948,
18,1.109977879159675,1.092857536589927,1.129663279197255,
19,1.1082401901721477,1.093006350334881,1.1208909386502537,
20,1.1045561530546681,1.0961084277971604,1.1173647878673179,
