Vertexes,Gr,GrSD,GrSA,
1,1.0,1.0,1.0,
2,1.0,1.0,1.0,
3,1.0,1.0,1.0,
4,1.15,1.16,1.33,
5,1.22,1.15,1.29,
6,1.2341666666666666,1.1644999999999999,1.3424999999999998,
7,1.158571428571429,1.090857142857143,1.23952380952381,
8,1.1636984126984131,1.0734960317460318,1.2302301587301592,
9,1.134261183261184,1.0796349206349212,1.2539076479076487,
10,1.127564435564436,1.0702408702408706,1.2205588300588306,
11,1.1378999529881886,1.0603342670401497,1.2352933234636025,
12,1.1351040146643865,1.0507769836802345,1.225071343646034,
13,1.1054344336483923,1.0390271503054114,1.1928916264513518,
14,1.1148970477609281,1.0504312347371154,1.195453846740331,
15,1.1293702719510714,1.0363534013096258,1.1846670136341513,
16,1.1149852138485314,1.051845778362509,1.1983279058721805,
17,1.1347213739320088,1.0332894235619834,1.2268729242227174,
18,1.1260038622667023,1.0379753270568637,1.195661772758229,
19,1.111859589779557,1.0367887251033323,1.1843299589054828,
20,1.1117611606920041,1.0214619523236605,1.182387342801828,
