Vertexes,Gr,GrSD,GrSA,
1,1.0,1.0,1.0,
2,1.0,1.0,1.0,
3,1.0,1.0,1.0,
4,1.24,1.21,1.33,
5,1.19,1.21,1.41,
6,1.2008333333333332,1.2519999999999998,1.2216666666666667,
7,1.1470000000000002,1.1771904761904763,1.2743333333333335,
8,1.1782619047619045,1.1897222222222226,1.2408134920634921,
9,1.1892251082251086,1.162561327561328,1.23904761904762,
10,1.1675690420690423,1.1568590853590859,1.167439227439228,
11,1.126900200161037,1.1210839315483285,1.122871949859567,
12,1.1522492315905632,1.152547295639704,1.13892718203709,
13,1.1195040626040624,1.1297533223620178,1.1298942820210554,
14,1.1455429291833266,1.0995990228083015,1.1425350451226781,
15,1.1175734863280615,1.1115536487700644,1.1309239179116028,
16,1.1192883820672654,1.126096305437769,1.1397923902002858,
17,1.1086003239467972,1.102854593345123,1.1135072212059642,
18,1.1221000813475208,1.12858509464348,1.1263672027185925,
19,1.118637040080788,1.099130749056197,1.1150529601726986,
20,1.1178361235018195,1.1101380210631475,1.1215403967044417,
