Vertexes,Gr,GrLE,GrL,
1,1.0,1.0,1.0,
2,1.0,1.0,1.0,
3,1.0,1.0,1.0,
4,1.26,1.0,1.0,
5,1.15,1.05,1.03,
6,1.2483333333333333,1.04,1.0175,
7,1.2165238095238093,1.0865238095238094,1.0393333333333334,
8,1.2077896825396828,1.0459285714285713,1.023968253968254,
9,1.1302106782106789,1.0876046176046181,1.0291399711399714,
10,1.1488869463869467,1.0270019980019982,1.0176336996336997,
11,1.1562709602059456,1.062398803381002,1.0361241830065362,
12,1.1342574997372923,1.0477172945733322,1.0236176805650494,
13,1.1196603039472606,1.0617384063601454,1.032149943132552,
14,1.119371737411598,1.0343904370297026,1.0258106214429907,
15,1.1379359321513862,1.0645950633944998,1.0352630538558576,
16,1.1159862906679345,1.0398024318842676,1.027104676496525,
17,1.1220956827005322,1.058753438867398,1.0336548920948048,
18,1.1144642642958664,1.0345040858936414,1.0274696962674426,
19,1.1130148930223545,1.0580832073862572,1.0282014427631951,
20,1.1116566581383154,1.0349497643421413,1.020966418309725,
