Vertexes,Gr,GrLE,GrL,
1,1.0,1.0,1.0,
2,1.0,1.0,1.0,
3,1.0,1.0,1.0,
4,1.22,1.0,1.0,
5,1.22,1.05,1.01,
6,1.1903333333333332,1.0125,1.015,
7,1.1266666666666665,1.053,1.0276666666666667,
8,1.1479801587301584,1.0282539682539682,1.0250396825396826,
9,1.1119430014430016,1.0713131313131317,1.0364393939393943,
10,1.1437279387279387,1.0292147852147853,1.0274022644022645,
11,1.15624086895217,1.082847580867705,1.0409681311120942,
12,1.1433187069488902,1.0488355014289192,1.0382999485315239,
13,1.124668488560143,1.0369419266638944,1.0290297575210616,
14,1.1428573074854547,1.0305285910938442,1.0266982837564733,
15,1.1152736323412344,1.0587941344781304,1.0261475465552794,
16,1.1319452011857483,1.0295298128018693,1.0281249434532205,
17,1.110051738687808,1.0466744261106764,1.0334885316315414,
18,1.1102050865462,1.0247243176872671,1.0247827087313504,
19,1.1222023958811862,1.0537121271197554,1.0297635557589948,
20,1.1124362895745847,1.0259966948038228,1.024091709379187,
