Vertices,Gr,GrSD,GrSA,
1,1.0,1.0,1.0,
2,1.0,1.0,1.0,
3,1.0,1.0,1.0,
4,1.19,1.15,1.56,
5,1.2,1.21,1.36,
6,1.1978333333333333,1.2158333333333333,1.3506666666666662,
7,1.1641904761904764,1.1463333333333334,1.2609047619047622,
8,1.1994841269841274,1.19593253968254,1.2412182539682544,
9,1.128896103896105,1.1384949494949503,1.1783593073593084,
10,1.1336838161838163,1.1368511488511488,1.1876764901764902,
11,1.1274928374858724,1.1001259029927766,1.142018858420562,
12,1.1247616144717376,1.133092200464543,1.1866721368250512,
13,1.1068555179120396,1.1150594506554026,1.136581574968981,
14,1.134471448446087,1.1257461875798775,1.1474835973645066,
15,1.1181481685681682,1.1031636787929902,1.141342650997875,
16,1.1126976091281031,1.10990139618266,1.145924198507721,
17,1.0968899715947833,1.1062394912691071,1.1178733317108238,
18,1.1096448306631785,1.106756587841282,1.1229638328098224,
19,1.1002110472457143,1.096432166731177,1.114157893569874,
20,1.1073284629239444,1.0997786133045921,1.1168155560060233,
