Vertices,CSW,Gr,GrLE,GrL,GrSD,
1,1.0,1.0,1.0,1.0,1.0,
2,1.0,1.0,1.0,1.0,1.0,
3,1.0,1.0,1.0,1.0,1.0,
4,1.0,1.14,1.0,1.0,1.11,
5,1.0,1.16,1.08,1.02,1.15,
6,1.0,1.188333333333333,1.01,1.0025,1.1191666666666666,
7,1.0,1.1453333333333335,1.0853333333333337,1.0456666666666667,1.1116666666666668,
8,1.0,1.1475158730158734,1.0358928571428572,1.029642857142857,1.0750000000000002,
9,1.0,1.110217171717172,1.0554292929292932,1.022217171717172,1.0596899766899768,
10,1.0,1.1260054945054945,1.0335596070596071,1.0299074259074261,1.0867117882117883,
11,1.0,1.098438123967536,1.0496544746103573,1.039096602743662,1.0589950082597144,
12,1.0,1.1494859240346862,1.0243377360513586,1.0183233842181214,1.0495944668936161,
13,1.0,1.1227343560536522,1.0583099491067456,1.0379535522448564,1.0637700021141665,
14,1.0,1.1287051494828786,1.0195038953424937,1.0302475808375697,1.0493464911885377,
15,1.0,1.1284322327572622,1.0522162126030215,1.0387606411445647,1.0469230886748964,
16,1.0,1.1031298295784662,1.02752387398021,1.018996607456813,1.054244606142916,
17,1.0,1.1145820116084861,1.043979922470556,1.0274287396260475,1.0389133503230266,
18,1.0,1.106331286462867,1.031433420621789,1.0267405755116075,1.0436275753461062,
19,1.0,1.11404536200216,1.036329997236914,1.0246679098793512,1.037109579289345,
20,1.0,1.1152957019547776,1.029627047663433,1.019813285056903,1.0297213289313063,
21,1.0,1.1227102642112947,1.051564062250726,1.034570499520365,1.028138623630457,
22,1.0,1.100327046504495,1.0186123475052864,1.018204721374101,1.0270258335596802,
23,1.0,1.1031797210734333,1.0410096521730992,1.015261571168731,1.0307329154468876,
24,1.0,1.1165512144986796,1.0292983533523812,1.0153487991395442,1.0196397501983154,
25,1.0,1.1128400556473732,1.0401554303576896,1.0136923047642314,1.0317709892289573,
26,1.0,1.1182514135066044,1.0203854503091756,1.012113409359724,1.0309409726535799,
27,1.0,1.1090665110966567,1.0313396855504022,1.0247633245757977,1.0270529267642674,
28,1.0,1.1128841969571215,1.0200610225021927,1.0121681387840602,1.0467718132322057,
29,1.0,1.1014499009654481,1.0387874104719708,1.019530905266582,1.0282485164426853,
30,1.0,1.0988338846244627,1.0167739431133906,1.017376829008952,1.0343733186549193,
31,1.0,1.1169741578272951,1.0310367106055296,1.0129363650387837,1.0280931416702892,
32,1.0,1.1039802903857856,1.018334939326965,1.0098714182464439,1.0190435193910377,
33,1.0,1.109793682086433,1.0219561978873406,1.0152898718346965,1.0263737663757986,
34,1.0,1.1132904215488164,1.0170386803783085,1.0083202962095832,1.026869457291983,
35,1.0,1.1071266288010486,1.0214087178761273,1.012320347789612,1.025014845070534,
36,1.0,1.1032817319048676,1.0106836893618583,1.0069843826449245,1.0232493929710276,
37,1.0,1.1163734936337433,1.0263995539386928,1.0139750703354176,1.025288768190181,
38,1.0,1.116554384945382,1.0058165229808085,1.008307433781036,1.022179742005526,
39,1.0,1.1078946294272833,1.0178444173600432,1.0044077283058508,1.0261785163782282,
40,1.0,1.1196340544376886,1.0150753082389046,1.0040378730659223,1.0164017256919333,
41,1.0,1.1225932322089158,1.0163193044834022,1.0068526851882915,1.0255726028634014,
42,1.0,1.126095544312809,1.0117473799190018,1.0088306191330703,1.0227006084359314,
43,1.0,1.1177539053637586,1.0117965051589055,1.0065836874572018,1.0229534196924317,
44,1.0,1.1441684421192482,1.0063981692502033,1.008112784960653,1.0232509683408089,
45,1.0,1.1117043102991366,1.0119819463357622,1.003571552868926,1.029869425610558,
46,1.0,1.1195872793306243,1.0088405239059737,1.0047469587826818,1.0159707396941655,
47,1.0,1.1289593159696971,1.0112890180900829,1.0023683947100022,1.0197983664545507,
48,1.0,1.1093696785067688,1.0056563612704266,1.0020542610552374,1.0241791415967005,
49,1.0,1.133688795856008,1.0126642627262141,1.0016237298753432,1.0287914172362858,
50,1.0,1.1206146202976628,1.0044657604119047,1.0,1.0269835388510713,
