Vertices,CSW,Gr,GrLE,GrL,GrSD,
1,1.0,1.0,1.0,1.0,1.0,
2,1.0,1.0,1.0,1.0,1.0,
3,1.0,1.0,1.0,1.0,1.0,
4,1.0,1.23,1.0,1.0,1.18,
5,1.0,1.21,1.1,1.03,1.21,
6,1.0,1.1808333333333332,1.025,1.025,1.1849999999999998,
7,1.0,1.1223333333333332,1.0516666666666667,1.0433333333333334,1.1536666666666668,
8,1.0,1.1991984126984128,1.0275396825396823,1.0237896825396826,1.173805555555556,
9,1.0,1.1477864357864365,1.0647575757575762,1.0310808080808085,1.1513131313131322,
10,1.0,1.155469488844489,1.0304957958707959,1.0166300366300367,1.1265334804084808,
11,1.0,1.1291593850765684,1.0553889455917325,1.0244905400756794,1.1242480456420092,
12,1.0,1.1290658335173753,1.036525670236197,1.0279340396445662,1.1326825025100535,
13,1.0,1.1434114719165058,1.0700534986752375,1.0457567273306403,1.1350740670974082,
14,1.0,1.1444579455284964,1.0510737387571232,1.029593487444558,1.1297771327846136,
15,1.0,1.118580422390422,1.0567487946039282,1.0292077173017582,1.1184472119411315,
16,1.0,1.1353273579500343,1.037155086001182,1.0303324424901554,1.120461674336493,
17,1.0,1.119768465497697,1.0655106754458856,1.0390149514703042,1.1046711719166558,
18,1.0,1.1218664000517338,1.0320233839846358,1.0297670143308764,1.1090609539608731,
19,1.0,1.0994016188076468,1.0472130204421701,1.0254570160906584,1.1051003845995846,
20,1.0,1.0969218595035302,1.0333352199347656,1.0223744535359054,1.1063568070555703,
21,1.0,1.103727539033138,1.0546406375962396,1.0254136971378376,1.0951556523830595,
22,1.0,1.0976498801961463,1.028958369309863,1.028272028070502,1.1004331637671574,
23,1.0,1.1018052586270508,1.0547582610006814,1.0241738608059054,1.0948738158798594,
24,1.0,1.106702594508416,1.038085313429138,1.0294163302843231,1.1045686041409797,
25,1.0,1.103811180293185,1.0510772772527452,1.0249721508436203,1.0920771508678668,
26,1.0,1.0909128300299091,1.0301527262706747,1.0236000210328786,1.0927409419569514,
27,1.0,1.088018377809394,1.040315175721485,1.0259474287240669,1.0825676063186784,
28,1.0,1.0961729466830819,1.0333274349093846,1.0257838827030317,1.091860181652053,
29,1.0,1.098995655197715,1.0462993701625205,1.022047140161975,1.0788881808203883,
30,1.0,1.0888226379999175,1.0289416961169653,1.0256302721951271,1.0845037402238809,
31,1.0,1.0895612825808199,1.0407328047133548,1.0263712294456497,1.080077812857593,
32,1.0,1.0918812103651319,1.0330531854244578,1.021333107479424,1.082577718139329,
33,1.0,1.085060016574985,1.0417556393609302,1.0288667640524016,1.0799421704168868,
34,1.0,1.082813031832529,1.0293968320372242,1.021960255170586,1.0732615750152812,
35,1.0,1.0752135654173465,1.0378615833809917,1.0203096158802256,1.0796977675388326,
36,1.0,1.0868606858707874,1.0290297917733648,1.0186336414187815,1.082278568165767,
37,1.0,1.0845126364396946,1.0439112742579653,1.0223141572384957,1.0806486258866261,
38,1.0,1.081443472838376,1.030331935051707,1.0180784622295787,1.0732277256278078,
39,1.0,1.0744054053035543,1.0339338104258753,1.0197898490770816,1.0741487821081894,
40,1.0,1.072700792904434,1.0282467772414965,1.0192896132476588,1.0773978807377924,
41,1.0,1.0788506729893164,1.0417437155172111,1.023965230739644,1.0756821445890485,
42,1.0,1.0808807864305676,1.0224367933835048,1.016281724641125,1.0741018134886338,
43,1.0,1.0744381522310655,1.0326513625659544,1.0180742954878461,1.0701362753572081,
44,1.0,1.0759625410728446,1.0277498689611573,1.0156327817653297,1.0687143672883883,
45,1.0,1.0706833798162605,1.0348692726069944,1.0186391845568203,1.0692497642577405,
46,1.0,1.07333577599146,1.0273429598623702,1.0164149740194406,1.0716442299132447,
47,1.0,1.0672412739011596,1.033986266163156,1.0192584165764926,1.0709975872329216,
48,1.0,1.0699383738972952,1.027076341568727,1.0180207192246358,1.065878992910517,
49,1.0,1.0679046531246417,1.0343218299261376,1.015258832963566,1.0668078612401617,
50,1.0,1.0698497747584181,1.0245270723326783,1.0192549242540887,1.0694624923331673,
