Vertices,CSW,Gr,GrLE,GrL,GrSD,
1,1.0,1.0,1.0,1.0,1.0,
2,1.0,1.0,1.0,1.0,1.0,
3,1.0,1.0,1.0,1.0,1.0,
4,1.0,1.12,1.0,1.0,1.01,
5,1.0,1.08,1.04,1.03,1.0,
6,1.0,1.0898333333333337,1.0075,1.01,1.02,
7,1.0,1.078952380952381,1.0410476190476192,1.0417142857142858,1.0526666666666666,
8,1.0,1.0701670274170278,1.024920634920635,1.0134523809523812,1.0492857142857148,
9,1.0,1.0628271728271736,1.0304152514152518,1.0133383283383288,1.0385924075924082,
10,1.0,1.0872990016519433,1.0281596638655464,1.01871918767507,1.037887605042017,
11,1.0,1.0634776764044505,1.0372817319979795,1.017645672151393,1.0381473380420756,
12,1.0,1.0683068845807981,1.027650296080731,1.024407307185568,1.0524798969146796,
13,1.0,1.0681858223636866,1.0393086039840767,1.0239162008232365,1.0399123086724589,
14,1.0,1.0831468192128777,1.0357261443764054,1.023588530500177,1.0508721721179033,
15,1.0,1.0615208182664242,1.044316095292677,1.022075547224518,1.0426973628411986,
16,1.0,1.071056244227143,1.029661870088629,1.020899761998181,1.0542248409695532,
17,1.0,1.0639991490690919,1.0359811155421985,1.022026848956586,1.0366183677408283,
18,1.0,1.0690479401892976,1.0298869259385763,1.02346408297378,1.0451916569943223,
19,1.0,1.0524146510901315,1.0347546535950083,1.0187425737428464,1.04095264921679,
20,1.0,1.0610734773904853,1.0273281918536568,1.0204224325971296,1.0337176152319345,
21,1.0,1.0624579726341106,1.0429263495865042,1.0208356458144643,1.0474370715299957,
22,1.0,1.0623388929140047,1.0284412890919743,1.0192213880045662,1.0425294057630226,
23,1.0,1.0560476809315475,1.0333718316188405,1.01806650791432,1.0406630082817976,
24,1.0,1.056449073507336,1.0226541943734608,1.0181216489328522,1.041560047169792,
25,1.0,1.061342715179056,1.0394078839052694,1.0206726054275228,1.0394648263035824,
26,1.0,1.0517116817375616,1.021641309599308,1.0160571448588476,1.040114844164179,
27,1.0,1.054004189131471,1.032345777098633,1.0175799005498734,1.0393721859101417,
28,1.0,1.0544509167440257,1.0195554467671486,1.0154943989464496,1.0444179995208096,
29,1.0,1.0526235124608099,1.0320781734231954,1.0142292517037346,1.038788249865166,
30,1.0,1.052468749047496,1.0229777361683605,1.017503690369098,1.0375287258215564,
31,1.0,1.0505698958521001,1.0305571556593733,1.0164176900730686,1.0370778917417016,
32,1.0,1.0504059107068529,1.021700969836866,1.0149508646454621,1.0418440227017078,
33,1.0,1.0489596016372582,1.031440003118171,1.0137971524317897,1.0404208310710472,
34,1.0,1.0503878365387758,1.0218974354930426,1.0151940597053686,1.0403166420078456,
35,1.0,1.0477144062139532,1.0292489017950783,1.0128251132775927,1.0403010074878745,
36,1.0,1.051168932860825,1.0225292517127436,1.0158228755305454,1.0384110318216628,
37,1.0,1.049178027596706,1.0273159800221454,1.015181826092178,1.0371288438255994,
38,1.0,1.0445779270169036,1.0204865881123615,1.0153582280104978,1.0397919843151469,
39,1.0,1.0462790605800434,1.0268339879088688,1.015763154035905,1.0389555153803354,
40,1.0,1.0463659480314365,1.020429319290594,1.014269412096339,1.0383805557923254,
41,1.0,1.043993550500779,1.0263348173656492,1.0128274773783634,1.0366279983532802,
42,1.0,1.0472613940223023,1.020093301715788,1.0140738382222496,1.0369292134411698,
43,1.0,1.042895811465463,1.0256790889803138,1.0148650756237438,1.0384121519729197,
44,1.0,1.0443733022779453,1.0193962352270896,1.0139082944537823,1.0363520502894665,
45,1.0,1.0439341262324215,1.0249451479423768,1.0111860385816263,1.0358223413489918,
46,1.0,1.0442429349446953,1.0198895723017993,1.0141537841324522,1.0391217977888103,
47,1.0,1.0415268173859453,1.0238284063300707,1.0134377410979178,1.0347810222123,
48,1.0,1.0436736961130513,1.0211351430915327,1.0152195651873546,1.0348017077969554,
49,1.0,1.04331232498475,1.0253896397003197,1.0127927754849007,1.0369628853289208,
50,1.0,1.0440541808576713,1.0187788944322584,1.0139230015197374,1.036196396554269,
