Vertexes,Gr,GrLE,GrL,
1,1.0,1.0,1.0,
2,1.0,1.0,1.0,
3,1.0,1.0,1.0,
4,1.2366666666666668,0.9666666666666667,0.9666666666666667,
5,1.1900000000000002,1.0300000000000002,1.0000000000000002,
6,1.099333333333333,0.9803333333333331,0.9713333333333332,
7,1.1464841269841266,1.0087460317460313,0.9866984126984124,
8,1.07960767010767,0.953463009213009,0.9438717393717391,
9,1.0664504939504942,0.9803098013098014,0.9582336552336552,
10,1.041047206061912,0.9445269126298537,0.942256347410759,
11,1.0417064277050483,0.9649050690190143,0.9500562851059885,
12,1.007674637077898,0.9216323272879332,0.9153355816909589,
13,1.0046485789151134,0.9475063598247445,0.9178138744640278,
14,1.007825951447402,0.935690502982625,0.9255317118024621,
15,0.9660174785790909,0.9199116621212546,0.9006527838627048,
16,0.9929235267185375,0.9156533737691436,0.911541747846156,
17,0.9845610843304783,0.9297433161763928,0.9091338751450517,
18,0.9771457363007482,0.9072271732396914,0.889131403723583,
19,0.9866196774560096,0.9293814653231266,0.911953760082276,
20,0.9660448417586269,0.8985011649927175,0.8874479621098063,
21,0.9697333300735597,0.8953963672257822,0.8863011475053483,
22,0.9769375071976067,0.8886417631562668,0.8888245314142725,
23,0.9622371013731236,0.8999816648377735,0.8948158547371627,
24,0.9421180937190576,0.8690783272175239,0.8640472252900051,
25,0.9569802710416652,0.8980093148528487,0.8832511581120697,
26,0.9581317632979919,0.8815531712263507,0.8712012742667965,
27,0.9466152840552695,0.8797039612761698,0.872171042722086,
28,0.9428835562915968,0.8651786926300634,0.8633534387348193,
29,0.9373286303312,0.8758820906069996,0.8635252110724925,
30,0.9344659432251192,0.8614630402611745,0.8589145906685283,
31,0.9357298324228935,0.8608413722108454,0.8575244816935473,
32,0.9427483859047413,0.8635936901038325,0.863619577071029,
33,0.9440101674570747,0.8618307305832583,0.8534634513713756,
34,0.9352488458123074,0.8529660587055738,0.8498239761695888,
35,0.9336793631351209,0.8582748125157081,0.8437909787605057,
36,0.9268437474659151,0.8475980788919126,0.8403490371758153,
37,0.9203880622913947,0.8560119543647385,0.8375486289877558,
38,0.9178611097583017,0.8394850392391513,0.8432859438214763,
39,0.9244029574490459,0.8362849843324069,0.8369676239799502,
40,0.9316691317640613,0.8402812494963531,0.8374965561644617,
41,0.9229322494077136,0.8418840168510922,0.8359376881697301,
42,0.9392056013890191,0.8397275093261242,0.8362014833655451,
43,0.913548629903858,0.8272048035339598,0.8248501134445512,
44,0.9243949367791222,0.8243273265158679,0.8178758954285845,
45,0.9138544158874724,0.8273781988127893,0.819155485818459,
46,0.9146254830122281,0.8256326162882184,0.823240270623821,
47,0.9051359807224216,0.8201337849075491,0.8142666110701532,
48,0.9148209890971443,0.8172963035034492,0.8196306721057718,
49,0.9156484032221782,0.821270938044067,0.8115305449695289,
50,0.9057745980436575,0.8104652481913684,0.8069132660320188,
51,0.9125132043971648,0.8203938801107278,0.8107265191607671,
52,0.9115211317083164,0.8093584012084909,0.8116143640188832,
53,0.9057593656062802,0.817622254553234,0.8103743098786417,
54,0.9066116967529904,0.8101179784082454,0.8084373937606004,
55,0.904390784852376,0.8125183946416591,0.8089403340885668,
56,0.8896817837144825,0.8071846375622682,0.8009032947737521,
57,0.8969358468453393,0.8069749826716062,0.8059572249689346,
58,0.898328572045523,0.8080834895265708,0.8058582959189473,
59,0.8971910905649361,0.798430126676006,0.7982151947072914,
60,0.8929271345784332,0.7986536676927514,0.7971113162388954,
