Vertexes,Gr,GrLE,GrSA,GrSD,
1,1.0,1.0,1.0,1.0,
2,1.0,1.0,1.0,1.0,
3,1.0,1.0,1.0,1.0,
4,2.0,1.0,2.0,2.0,
5,3.0,2.0,3.0,3.0,
6,3.0,2.0,3.0,2.5,
7,1.8,1.5,2.0,1.6666666666666667,
8,2.2,1.6666666666666667,2.4,2.2,
9,1.6666666666666667,1.4444444444444444,1.6666666666666667,1.75,
10,1.7272727272727273,1.4166666666666667,1.8,1.7,
11,1.6153846153846154,1.4615384615384615,1.5714285714285714,1.5714285714285714,
12,1.9285714285714286,1.3333333333333333,1.5263157894736843,1.5,
13,1.3636363636363635,1.3636363636363635,1.434782608695652,1.5,
14,1.3703703703703705,1.2962962962962963,1.608695652173913,1.4,
15,1.3225806451612903,1.2222222222222223,1.4,1.3125,
16,1.3611111111111112,1.3333333333333333,1.3243243243243243,1.3783783783783783,
17,1.3255813953488371,1.2790697674418605,1.45,1.2857142857142858,
18,1.2666666666666666,1.1730769230769231,1.28,1.2692307692307692,
19,1.3773584905660377,1.2692307692307692,1.271186440677966,1.3636363636363635,
20,1.2857142857142858,1.1904761904761905,1.3559322033898304,1.305084745762712,
