Vertexes,Gr,GrSD,GrSA,GrSTD,GrSTA,
1,1.0,1.0,1.0,1.0,1.0,
2,1.0,1.0,1.0,1.0,1.0,
3,1.0,1.0,1.0,1.0,1.0,
4,1.0,1.0,2.0,2.0,2.0,
5,1.0,1.0,1.0,1.0,1.0,
6,1.0,1.0,4.0,1.0,4.0,
7,1.0,1.0,1.0,1.0,1.0,
8,1.2222222222222248,1.0,0.8888888888888871,1.0,0.8888888888888871,
9,1.0,1.2222222222222248,1.0,1.2222222222222248,1.0,
10,1.0909090909090926,1.5454545454545439,1.0909090909090926,1.0909090909090926,1.0909090909090926,
11,1.0,1.0,0.7999999999999985,1.099999999999998,0.9000000000000008,
12,0.7916666666666669,0.9583333333333325,0.7916666666666669,0.875,0.9166666666666674,
13,0.9230769230769211,1.0,1.0,0.9230769230769211,1.0,
14,0.969696969696969,0.8787878787878767,0.8787878787878767,0.8787878787878767,1.030303030303031,
15,1.0,1.0,1.1212121212121238,1.060606060606062,1.1818181818181839,
16,0.8888888888888871,0.9777777777777754,1.0,0.9777777777777754,1.133333333333336,
17,0.9636363636363646,0.9636363636363646,0.9272727272727264,0.8909090909090908,0.9636363636363646,
18,0.8305084745762719,0.8983050847457618,0.8305084745762719,1.0,0.9152542372881374,
19,0.8918918918918916,0.9189189189189192,0.8918918918918916,0.9189189189189192,0.945945945945947,
20,0.9078947368421059,1.0,0.9342105263157907,0.9868421052631601,1.0131578947368398,
