Vertexes,Gr,GrLE,GrSA,GrSD,
1,1.0,1.0,1.0,1.0,
2,1.0,1.0,1.0,1.0,
3,1.0,1.0,1.0,1.0,
4,2.0,1.0,2.0,2.0,
5,3.0,2.0,3.0,3.0,
6,3.0,1.25,3.0,3.0,
7,2.3333333333333335,2.0,3.0,3.0,
8,1.8333333333333333,1.4285714285714286,1.6666666666666667,1.7142857142857142,
9,1.8571428571428572,1.8571428571428572,2.0,1.5714285714285714,
10,1.6,1.5,1.5454545454545454,1.8888888888888888,
11,1.5714285714285714,1.4615384615384615,1.7142857142857142,1.5714285714285714,
12,1.5,1.3888888888888888,1.6111111111111112,1.75,
13,1.434782608695652,1.380952380952381,1.5714285714285714,1.5,
14,1.48,1.2592592592592593,1.48,1.44,
15,1.4,1.3636363636363635,1.4137931034482758,1.4137931034482758,
16,1.4848484848484849,1.2222222222222223,1.3428571428571427,1.411764705882353,
17,1.3181818181818181,1.2380952380952381,1.3333333333333333,1.3333333333333333,
18,1.2549019607843137,1.2040816326530612,1.28,1.2553191489361701,
19,1.3673469387755102,1.1851851851851851,1.2692307692307692,1.2758620689655173,
20,1.4107142857142858,1.1639344262295082,1.2678571428571428,1.3275862068965518,
