Vertexes,Gr,GrLE,GrSA,GrSD,
1,1.0,1.0,1.0,1.0,
2,1.0,1.0,1.0,1.0,
3,1.0,1.0,1.0,1.0,
4,2.0,1.0,2.0,2.0,
5,3.0,2.0,3.0,3.0,
6,4.0,1.25,2.5,2.5,
7,2.0,2.0,2.3333333333333335,2.0,
8,1.8333333333333333,1.6666666666666667,2.75,1.8333333333333333,
9,2.3333333333333335,2.3333333333333335,2.0,1.75,
10,2.142857142857143,1.5454545454545454,2.142857142857143,1.5454545454545454,
11,1.5714285714285714,1.4285714285714286,1.6666666666666667,1.375,
12,1.8,1.375,2.0,1.5,
13,1.5,1.4210526315789473,1.5263157894736843,1.434782608695652,
14,1.55,1.2916666666666667,1.85,1.3333333333333333,
15,1.4444444444444444,1.3448275862068966,1.64,1.2666666666666666,
16,1.4848484848484849,1.4848484848484849,1.6551724137931034,1.3611111111111112,
17,1.5,1.35,1.5405405405405406,1.372093023255814,
18,1.4523809523809523,1.2325581395348837,1.4883720930232558,1.2127659574468086,
19,1.392156862745098,1.392156862745098,1.4680851063829787,1.2448979591836735,
20,1.4705882352941178,1.4444444444444444,1.5192307692307692,1.320754716981132,
