Vertexes,Gr,GrLE,GrSA,GrSD,
1,1.0,1.0,1.0,1.0,
2,1.0,1.0,1.0,1.0,
3,1.0,1.0,1.0,1.0,
4,1.0,1.0,2.0,1.0,
5,1.0,1.0,1.0,1.0,
6,1.0,1.0,4.0,1.0,
7,1.0,1.0,1.0,1.0,
8,1.375,1.0,1.0,1.125,
9,1.0,1.0,1.0,1.2222222222222223,
10,1.0909090909090908,1.0,1.0909090909090908,1.5454545454545454,
11,1.25,1.25,1.0,1.25,
12,1.0,1.0,1.0,1.2105263157894737,
13,1.0,1.0,1.0833333333333333,1.0833333333333333,
14,1.103448275862069,1.0,1.0,1.0,
15,1.064516129032258,1.064516129032258,1.1935483870967742,1.064516129032258,
16,1.0526315789473684,1.0,1.1842105263157894,1.1578947368421053,
17,1.0816326530612246,1.0816326530612246,1.0408163265306123,1.0816326530612246,
18,1.0,1.0,1.0,1.0816326530612246,
19,1.1,1.0666666666666667,1.1,1.1333333333333333,
20,1.078125,1.015625,1.109375,1.1875,
