Vertexes,Gr,GrLE,GrSA,GrSD,
1,1.0,1.0,1.0,1.0,
2,1.0,1.0,1.0,1.0,
3,1.0,1.0,1.0,1.0,
4,1.0,1.0,1.0,1.0,
5,1.0,1.0,1.0,1.0,
6,1.0,1.0,1.0,1.0,
7,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,
8,1.0,1.0,1.1428571428571428,1.0,
9,1.2,1.2,1.2,1.0,
10,1.1428571428571428,1.0,1.1428571428571428,1.0,
11,1.2352941176470589,1.0,1.0,1.1176470588235294,
12,1.2,1.15,1.15,1.25,
13,1.173913043478261,1.0,1.2608695652173914,1.2608695652173914,
14,1.1379310344827587,1.0344827586206897,1.0344827586206897,1.0344827586206897,
15,1.0571428571428572,1.0,1.2857142857142858,1.1714285714285715,
16,1.135135135135135,1.0,1.2432432432432432,1.1081081081081081,
17,1.0434782608695652,1.0434782608695652,1.173913043478261,1.173913043478261,
18,1.1,1.06,1.16,1.18,
19,1.064516129032258,1.0,1.064516129032258,1.096774193548387,
20,1.1818181818181819,1.0606060606060606,1.106060606060606,1.121212121212121,
