Vertexes,Gr,GrLE,GrSA,GrSD,
1,1.0,1.0,1.0,1.0,
2,1.0,1.0,1.0,1.0,
3,1.0,1.0,1.0,1.0,
4,2.0,1.0,2.0,1.0,
5,1.0,1.0,1.0,1.0,
6,1.0,1.0,1.0,1.0,
7,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,
8,1.8333333333333333,1.0,1.6666666666666667,1.0,
9,1.2222222222222223,1.0,1.0,1.6666666666666667,
10,1.0909090909090908,1.0,1.4545454545454546,1.5454545454545454,
11,1.0,1.0,1.2666666666666666,1.2666666666666666,
12,1.2941176470588236,1.0,1.1764705882352942,1.5294117647058822,
13,1.0,1.0,1.0,1.4,
14,1.1333333333333333,1.0,1.1666666666666667,1.1,
15,1.0,1.0,1.1935483870967742,1.0,
16,1.1282051282051282,1.0,1.205128205128205,1.0,
17,1.0930232558139534,1.0,1.0930232558139534,1.0465116279069768,
18,1.0816326530612246,1.0,1.3265306122448979,1.0,
19,1.08,1.0,1.08,1.04,
20,1.368421052631579,1.0,1.1754385964912282,1.0,
