Vertices,BBCLE,Gr,GrLE,GrL,GrSD,
1,1.0,1.0,1.0,1.0,1.0,
2,1.0,1.0,1.0,1.0,1.0,
3,1.0,1.0,1.0,1.0,1.0,
4,1.0,0.9633333333333336,0.8133333333333332,0.8133333333333332,0.8333333333333333,
5,1.0,0.9233333333333336,0.9033333333333334,0.8933333333333334,0.8933333333333334,
6,1.0,0.8719999999999994,0.8049999999999997,0.8029999999999995,0.8144999999999996,
7,1.0,0.8707777777777771,0.8481984126984123,0.8366984126984123,0.8656984126984122,
8,1.0,0.8952674547674545,0.8373856698856694,0.833961427461427,0.8515256410256407,
9,1.0,0.8600752611681404,0.8477098765527556,0.8227269252934885,0.8452873893392465,
10,1.0,0.8452910137707823,0.8028499743189912,0.7982899111709248,0.8206989192856472,
11,1.0,0.8372877656994498,0.8278919837036679,0.8125157986088763,0.8269487898552189,
12,1.0,0.8305172962141127,0.798536911798838,0.797755294214725,0.8078760850258416,
13,1.0,0.817381950840847,0.8020197576416264,0.7987979374365463,0.8088670693596707,
14,1.0,0.8155910754963653,0.7793868026450972,0.7698460445612683,0.7823370007565945,
15,1.0,0.8174941601082254,0.800058770240329,0.7866829121815542,0.7984895649885062,
16,1.0,0.7983198621803795,0.7678615447959081,0.762146850239727,0.7723308199629202,
17,1.0,0.8062762952027144,0.7881360674880393,0.7702126105790247,0.7863322226583328,
18,1.0,0.807413798807782,0.778063925357909,0.7743193116522495,0.7872901037097193,
19,1.0,0.8003984627436074,0.7824087300977881,0.7673351845896238,0.7824224559209313,
20,1.0,0.7935364639614501,0.7644297351909647,0.7566890166214386,0.7823053756632236,
21,1.0,0.7848241707716376,0.7716421779066487,0.7571015207634494,0.7804938161925168,
22,1.0,0.7762845249956949,0.7501382700712064,0.746178550190421,0.7616113543279954,
23,1.0,0.775313111403549,0.7584096617406949,0.7465989041941427,0.7628116999264292,
24,1.0,0.7768409622233625,0.750775728307279,0.7427437381758345,0.7649003703998024,
25,1.0,0.7720453046469129,0.7556365425824736,0.744772577595136,0.7599007326016632,
26,1.0,0.7765507530579105,0.7519152449401342,0.7460513334058209,0.7656596100624721,
27,1.0,0.7776826169970592,0.7631332487458827,0.7529073206831385,0.7680144722440438,
28,1.0,0.7609531018657278,0.7417006708263885,0.7365776831143158,0.7548265628584914,
29,1.0,0.7598358700797542,0.7471977920001744,0.7373653199122048,0.7508462053463972,
30,1.0,0.7581034416261084,0.739388514078913,0.7350667077408203,0.7521429907678349,
31,1.0,0.7586625291087966,0.7468894418666759,0.7343176175275191,0.7513278863465981,
32,1.0,0.7560903227539326,0.7347835641947167,0.7313606946924319,0.7464299229075324,
33,1.0,0.7578885695371282,0.7441579548762232,0.73513589524748,0.7532289229589567,
34,1.0,0.7567268577287695,0.7366496301211953,0.731288176512371,0.7479996958165193,
35,1.0,0.7642306684718085,0.7500591957281454,0.7412560007161411,0.754899887988258,
36,1.0,0.7502904051491136,0.7317115082379739,0.7259470131916443,0.7432755999743144,
37,1.0,0.75747026703871,0.7427301810708629,0.7325352488685039,0.7498103785530822,
38,1.0,0.7475720724403658,0.7295935046824272,0.7238606799120499,0.7405708439003547,
39,1.0,0.7469963764566475,0.7357509973695778,0.728612134938182,0.7438381890643907,
40,1.0,0.7503158398238537,0.7304403384106977,0.7266350054364888,0.7422956670751433,
41,1.0,0.7486211762239046,0.7347021220279812,0.7271188515816133,0.7437715827830851,
42,1.0,0.7464776446882537,0.7275975557403495,0.7238420113996473,0.7407428049550648,
43,1.0,0.7482140732198586,0.7373041056261546,0.7271668252483824,0.7434778720212321,
44,1.0,0.7474887352008808,0.7295512770577163,0.7262651614607444,0.7446929162771104,
45,1.0,0.7469390662356713,0.7338477051204741,0.7250486925411976,0.7409397975091453,
46,1.0,0.7445027796264337,0.7260623559272247,0.7206317643286161,0.7374259149908048,
47,1.0,0.74166110875923,0.7288332503289275,0.7223224040831947,0.7367148006072768,
48,1.0,0.7434395789772494,0.7276158190186243,0.722790582490922,0.7387975926875431,
49,1.0,0.7430136552713255,0.7323919663880383,0.7229962749862456,0.7383857557066762,
50,1.0,0.7366583838893953,0.7199209314326903,0.7152527652841055,0.7304620798044258,
51,1.0,0.740387131096538,0.7287152293065753,0.7202338320501299,0.7372202875407556,
52,1.0,0.743820861216397,0.7251745534030725,0.7223634405189739,0.7392716049296734,
53,1.0,0.7389345176983788,0.7286157507563489,0.7201596421054661,0.7345149870071381,
54,1.0,0.7385527337329222,0.7214910440512816,0.7190979433115049,0.7343278390572032,
55,1.0,0.7429619289801525,0.7309582957552473,0.72351910385025,0.7375343632339922,
56,1.0,0.7390809744511418,0.7228881964669343,0.7168956373663568,0.7345711813251141,
57,1.0,0.7362947999994368,0.7252013839535987,0.7166160006662368,0.7320836624004834,
58,1.0,0.7353553982655455,0.7192057013090742,0.7152585774013237,0.7310979496076422,
59,1.0,0.7399025341894627,0.7277765614869303,0.7190452125885568,0.7347872136978908,
60,1.0,0.7381140305303542,0.722725542408433,0.717932432671286,0.7332884226500663,
61,1.0,0.7390983884675225,0.7283289877812633,0.7205186277351171,0.7362561768054454,
62,1.0,0.7370423651112319,0.7212081988629656,0.7170878312655407,0.7321185191290925,
63,1.0,0.7328137281974583,0.7212272100497847,0.7146698745870106,0.7288400064020893,
64,1.0,0.7352257844865335,0.7193071082056237,0.7164030112989294,0.7308949066039159,
65,1.0,0.7343492136245028,0.7244560560734254,0.7165752590990622,0.7311339957412717,
