Vertexes,Gr,GrLE,GrSA,GrSD,
1,1.0,1.0,1.0,1.0,
2,1.0,1.0,1.0,1.0,
3,1.0,1.0,1.0,1.0,
4,2.0,1.0,2.0,2.0,
5,3.0,2.0,3.0,2.0,
6,1.5,1.0,1.6666666666666667,2.0,
7,1.5,1.3333333333333333,2.0,1.5,
8,1.8333333333333333,1.2857142857142858,1.6666666666666667,1.8333333333333333,
9,1.2222222222222223,1.2,1.75,1.25,
10,1.7,1.0909090909090908,1.3076923076923077,1.3846153846153846,
11,1.25,1.1176470588235294,1.25,1.25,
12,1.4444444444444444,1.15,1.3888888888888888,1.263157894736842,
13,1.5,1.25,1.6,1.5,
14,1.2592592592592593,1.1111111111111112,1.2333333333333334,1.25,
15,1.3225806451612903,1.3225806451612903,1.2666666666666666,1.3333333333333333,
