Vertexes,Gr,GrLE,GrSA,GrSD,
1,1.0,1.0,1.0,1.0,
2,1.0,1.0,1.0,1.0,
3,1.0,1.0,1.0,1.0,
4,2.0,1.0,2.0,2.0,
5,3.0,2.0,3.0,2.0,
6,1.5,1.25,2.5,1.5,
7,1.3333333333333333,1.3333333333333333,2.0,1.4,
8,1.4285714285714286,1.2857142857142858,1.4285714285714286,1.7142857142857142,
9,1.5,1.25,1.4444444444444444,1.2222222222222223,
10,1.5454545454545454,1.4545454545454546,1.3846153846153846,1.4545454545454546,
11,1.9090909090909092,1.4,1.4,1.2666666666666666,
12,1.8125,1.0476190476190477,1.5,1.263157894736842,
13,1.4545454545454546,1.4545454545454546,1.5454545454545454,1.0833333333333333,
14,1.25,1.1428571428571428,1.4583333333333333,1.1785714285714286,
15,1.4444444444444444,1.1875,1.3703703703703705,1.1764705882352942,
