Vertexes |                Greed      GreedSortedDesc       GreedSortedAsc            GreedLEnd                  BBC           GreedLocal             BBCLocal                Brute
     108 |                 2588                 2619                 2586                 2509                 2776                 2515                 2492
     109 |                 2683                 2651                 2715                 2625                 2853                 2587                 2557
     110 |                 2720                 2708                 2705                 2669                 2951                 2629                 2612
     111 |                 2758                 2764                 2770                 2702                 2976                 2684                 2660
     112 |                 2801                 2847                 2802                 2743                 3035                 2732                 2699
     113 |                 2871                 2845                 2907                 2855                 3081                 2779                 2747
     114 |                 2921                 2941                 2899                 2854                 3134                 2780                 2778
     115 |                 2941                 2939                 3011                 2901                 3213                 2875                 2861
     116 |                 3024                 3007                 3037                 2954                 3258                 2947                 2902
     117 |                 3071                 3065                 3097                 3021                 3303                 2993                 2963
     118 |                 3105                 3106                 3155                 3042                 3358                 3032                 3014
     119 |                 3186                 3194                 3182                 3116                 3454                 3086                 3074
     120 |                 3281                 3253                 3261                 3169                 3479                 3126                 3119
     121 |                 3308                 3296                 3314                 3252                 3508                 3212                 3158
     122 |                 3357                 3358                 3375                 3258                 3641                 3245                 3234
     123 |                 3417                 3391                 3415                 3341                 3655                 3351                 3285
     124 |                 3447                 3478                 3465                 3397                 3640                 3356                 3345
     125 |                 3524                 3534                 3502                 3478                 3794                 3398                 3390
     126 |                 3537                 3579                 3661                 3493                 3824                 3469                 3438
     127 |                 3692                 3624                 3622                 3608                 3926                 3520                 3524
     128 |                 3742                 3704                 3718                 3630                 3987                 3595                 3554
     129 |                 3742                 3700                 3784                 3632                 4058                 3622                 3618
     130 |                 3827                 3799                 3859                 3748                 4142                 3705                 3686
     131 |                 3879                 3835                 3883                 3855                 4181                 3767                 3741
     132 |                 3921                 3936                 3971                 3860                 4265                 3861                 3811
     133 |                 3996                 4010                 4000                 3884                 4274                 3874                 3860
     134 |                 4106                 4049                 4085                 3969                 4361                 3935                 3913
     135 |                 4162                 4114                 4128                 3992                 4396                 3972                 3970
     136 |                 4151                 4176                 4194                 4100                 4533                 4076                 4032
     137 |                 4231                 4223                 4191                 4123                 4555                 4121                 4107
     138 |                 4308                 4303                 4328                 4216                 4588                 4212                 4160
     139 |                 4381                 4393                 4337                 4281                 4731                 4253                 4217
     140 |                 4441                 4460                 4447                 4338                 4801                 4358                 4302
     141 |                 4536                 4542                 4532                 4412                 4860                 4382                 4370
