Vertexes |                Greed      GreedSortedDesc       GreedSortedAsc            GreedLEnd                  BBC           GreedLocal             BBCLocal                Brute
     565 |                76212                76336                76538                75332
     566 |                76524                76658                76637                75755
     567 |                76869                76747                76857                75911
     568 |                77160                76900                77138                76112
     569 |                77348                77578                77362                76580
     570 |                77572                77652                77813                76578
     571 |                77633                78003                77823                76729
     572 |                78019                78183                78098                77107
     573 |                78540                78282                78542                77562
     574 |                78757                78914                78958                77862
     575 |                78933                79101                78953                78399
     576 |                79283                79265                79285                78267
     577 |                79676                79404                79672                78804
     578 |                79729                79891                79854                78793
     579 |                80274                80060                80422                79342
     580 |                80457                80540                80471
     581 |                80603                80677                80785
     582 |                81085                81028                81104
     583 |                81222                81166                81368
     584 |                81534                81479                81858
     585 |                81890                81914                81958
     586 |                82002                82306                82366
     587 |                82522                82346                82432
     588 |                82530                82419                82852
     589 |                82936                83260                83098
     590 |                83238                83310                83301
     591 |                83584                83618                83474
     592 |                83703                83798                83839
     593 |                84054                84148                84020
     594 |                84430                84358                84397
     595 |                84676                84382                84648
     596 |                84916                84954                85147
     597 |                85335                85229                85357
     598 |                85423                85657                85667
     599 |                85662                85658                85980
     600 |                86005                86273                86144
     601 |                86581                86427                86305
     602 |                86693                86695                86801
     603 |                87013                86937                86973
     604 |                87216                87284                87202
     605 |                87673                87653                87727
     606 |                88089                87920                87889
     607 |                88285                88243                88175
     608 |                88509                88587                88326
     609 |                88990                88868                88780
     610 |                89062                88914                89133
     611 |                89552                89376                89494
     612 |                89781                89789                89807
     613 |                89971                90089                90165
     614 |                90393                90090                90409
     615 |                90574                90358                90536
     616 |                90841                90676                90855
     617 |                91111                91223                90877
     618 |                91517                91658                91598
     619 |                91627                91865                91567
     620 |                92016                92167                92235
     621 |                92430                92120                92506
     622 |                92576                92678                92566
     623 |                92965                93259                92955
     624 |                93339                93400                93262
     625 |                93460                93776                93580
     626 |                94050                93853                94185
     627 |                94055                94071                94157
     628 |                94372                94506                94572
     629 |                94559                94987                94673
     630 |                95156                95041                95084
     631 |                95488                95190                95096
     632 |                95628                95729                95724
     633 |                95889                95999                96023
     634 |                96412                96252                96387
     635 |                96483                96783                96637
     636 |                96812                96927                96942
     637 |                97083                97359                97237
     638 |                97500                97615                97752
     639 |                98215                97721                97855
     640 |                98167                98101                98248
     641 |                98582                98526                98444
     642 |                98570                99011                98973
     643 |                99223                99115                99301
     644 |                99355                99492                99577
     645 |                99875                99863                99853
     646 |                99923               100061                99920
     647 |               100409               100373               100421
     648 |               100793               100526               100748
     649 |               100871               100739               100823
     650 |               101102               101335               101377
     651 |               101567               101681               101785
     652 |               101786               102074               101981
     653 |               102309               102285               102145
     654 |               102813               102492               102434
     655 |               102945               102831               103163
     656 |               103204               103315               103000
     657 |               103425               103663               103683
     658 |               103899               103910               103978
     659 |               104014               104214               103978
     660 |               104584               104486               104740
     661 |               104518               104698               104870
     662 |               104979               105143               105149
     663 |               105523               105377               105575
     664 |               105704               105675               105804
     665 |               106001               106219               106283
     666 |               106442               106355               106548
     667 |               106853               106653               106727
     668 |               107051               107155               107197
     669 |               107573               107533               107481
     670 |               107558               107508               107635
     671 |               108120               108124               107936
     672 |               108315               108328               108554
     673 |               108691               108621               108463
     674 |               109156               108899               108865
     675 |               109174               109496               109480
     676 |               109880               109556               110091
     677 |               110105               110225               109981
     678 |               110304               110619               110320
     679 |               110609               110587               110749
     680 |               110893               111145               111163
     681 |               111328               111350               111412
     682 |               111379               111587               111824
     683 |               111902               111940               111840
     684 |               112363               112425               112143
     685 |               112595               112503               112453
     686 |               112935               112894               113155
     687 |               113417               113207               113423
     688 |               113491               113820               113620
     689 |               113931               114107               114157
     690 |               114496               114646               114181
     691 |               114918               114944               114522
     692 |               115034               114927               114924
     693 |               115417               115451               115579
     694 |               115564               115732               115640
     695 |               116212               116178               116146
     696 |               116040               116269               116577
     697 |               116625               116497               116625
     698 |               117143               117188               117022
     699 |               117264               117440               117236
     700 |               117567               117603               117439
     701 |               118178               117882               118044
     702 |               118307               118514               118347
     703 |               118725               118775               118731
     704 |               118995               118887               118910
     705 |               119412               119358               119200
     706 |               119861               119670               119866
     707 |               120194               119880               120238
     708 |               120393               120677               120599
     709 |               120855               120499               120825
     710 |               121087               121062               120864
     711 |               121719               121679               121559
     712 |               121564               121986               121891
     713 |               122023               122153               122355
     714 |               122646               122223               122719
     715 |               123141               122727               122793
     716 |               123251               123380               123122
     717 |               123348               123588               123294
     718 |               123801               123806               123927
     719 |               124025               123935               124229
     720 |               124618               124424               124967
     721 |               124906               124634               125146
     722 |               125339               124942               125388
     723 |               125574               125684               125428
     724 |               126004               126051               126147
     725 |               126400               126076               126296
     726 |               126634               126797               126583
     727 |               126899               127269               127159
     728 |               127322               127243               127521
     729 |               127880               127836               127322
     730 |               128031               128011               128134
     731 |               128567               128203               128279
     732 |               128637               128510               128770
     733 |               129013               129135               129261
     734 |               129225               129777               129740
     735 |               129848               129602               129932
     736 |               130272               130183               130284
     737 |               130618               130556               130718
     738 |               130912               130765               130888
     739 |               131490               131184               131538
     740 |               131829               131728               131587
     741 |               132031               131903               131985
     742 |               132322               132061               132527
     743 |               132945               132833               132813
     744 |               133069               133400               133156
     745 |               133493               133233               133511
     746 |               133815               133771               133644
     747 |               134164               134102               134166
     748 |               134548               134424               134593
     749 |               135187               135065               134835
     750 |               135218               135556               135315
     751 |               135473               135733               135569
     752 |               135894               136040               135962
     753 |               136316               136264               136252
     754 |               136667               136865               136812
     755 |               137002               137014               137006
     756 |               137257               137363               137644
     757 |               137655               137859               137945
     758 |               138394               137885               138223
     759 |               138211               138273               138769
     760 |               138645               138972               138924
     761 |               139236               139300               139030
     762 |               139899               139657               139646
     763 |               140190               140020               140244
     764 |               140486               140480               140361
     765 |               140652               141104               140820
     766 |               141174               141080               141154
     767 |               141563               141539               141909
     768 |               141923               142049               141904
     769 |               142026               142142               142466
     770 |               142693               142984               142861
     771 |               142825               143359               143167
     772 |               143532               143426               143341
     773 |               143658               143840               143974
     774 |               144137               144313               144282
     775 |               144251               144477               144311
     776 |               144713               145121               145139
     777 |               145281               145515               145125
     778 |               145772               145681               145664
     779 |               146021               146065               146123
     780 |               146309               146313               146411
     781 |               146977               146731               146687
     782 |               147414               147173               147236
     783 |               147706               147570               147822
     784 |               147644               147896               147843
     785 |               148454               148276               148306
     786 |               148686               148710               148675
     787 |               149160               149214               149090
     788 |               149254               149479               149582
     789 |               149902               149872               149948
     790 |               150049               150064               150342
     791 |               150474               150858               150786
     792 |               150937               150870               151015
     793 |               151352               151144               151380
     794 |               151967               151922               151883
     795 |               152229               152295               152083
     796 |               152527               152583               152902
     797 |               152935               153163               152965
     798 |               153275               153038               153500
     799 |               153944               153620               153662
     800 |               153901               154075               154202
     801 |               154382               154570               154828
     802 |               155143               154763               154595
     803 |               155362               155080               155292
     804 |               155583               155680               155607
     805 |               156069               156209               156167
     806 |               156286               156372               156723
     807 |               156759               156765               156985
     808 |               157215               157071               156925
     809 |               157814               157494               157592
     810 |               158432               158071               158281
     811 |               158328               158256               158662
     812 |               158696               158813               158622
     813 |               159162               159332               158860
     814 |               159637               159561               159641
     815 |               159962               159640               160062
     816 |               160760               160576               160605
     817 |               160760               160666               161004
     818 |               160937               161188               161225
     819 |               161844               161320               161804
     820 |               161756               162169               162019
     821 |               162334               162372               162600
     822 |               162726               162783               162658
     823 |               163266               163270               163172
     824 |               163672               163641               163538
     825 |               164191               164159               163809
     826 |               164636               164324               164361
     827 |               164940               165260               164788
     828 |               165140               165347               165367
     829 |               165505               165317               165727
     830 |               166476               166249               165827
     831 |               166355               166501               166239
     832 |               166639               166808               166692
     833 |               167219               167033               167515
     834 |               167395               167444               167723
     835 |               168062               168052               168282
     836 |               168170               168641               168360
     837 |               168823               168675               168697
     838 |               169108               169058               169398
     839 |               169780               169574               169418
     840 |               170095               170128               169988
     841 |               170830               170710               170568
     842 |               170879               171289               170843
     843 |               171465               171353               171329
     844 |               171562               171648               171728
     845 |               172219               171907               171839
     846 |               172342               172112               172503
     847 |               173092               173102               173034
     848 |               173549               172868               173331
     849 |               173918               173940               173932
     850 |               174352               173969               174141
     851 |               174515               174441               174761
     852 |               175000               175030               174924
     853 |               175319               175475               175425
     854 |               175761               175794               175799
     855 |               176331               175923               176057
     856 |               176494               176715               176691
     857 |               176882               177034               177168
     858 |               177386               177428               177292
     859 |               177484               177702               177746
     860 |               178517               178339               178348
     861 |               178938               178944               179216
     862 |               179407               178759               179336
     863 |               179533               179985               179463
     864 |               180249               180019               180155
     865 |               180426               180660               180446
     866 |               180734               180788               180585
     867 |               181545               181405               181509
     868 |               181854               181521               181860
     869 |               182018               182144               182036
     870 |               182527               182404               182278
     871 |               183091               183121               183437
     872 |               183098               183145               183663
     873 |               183673               183651               183767
     874 |               184246               184440               184293
     875 |               184290               184836               184508
     876 |               185516               185010               184974
     877 |               185467               185573               185335
     878 |               185888               185902               185948
     879 |               186736               186696               186376
     880 |               186644               186973               186864
     881 |               187178               187190               187162
     882 |               187609               187307               187878
     883 |               187915               187783               188233
     884 |               188314               188582               188522
     885 |               188710               188944               188806
     886 |               189697               189228               189587
     887 |               189728               190202               189802
     888 |               190431               190198               190106
     889 |               190698               190676               190520
     890 |               191087               191134               191364
     891 |               191561               191487               191541
     892 |               192005               191800               191802
     893 |               192010               192582               192550
     894 |               192777               193130               193045
     895 |               193285               193291               193265
     896 |               193875               193931               193842
     897 |               194249               193909               194303
     898 |               194881               194502               194450
     899 |               195078               194924               195024
     900 |               195416               195574               195586
     901 |               195743               196069               196087
     902 |               196001               196315               196439
     903 |               196639               196829               196773
     904 |               197211               196952               197239
     905 |               197632               197640               197676
     906 |               197874               198042               198686
     907 |               199024               198442               198700
     908 |               199129               198642               198878
     909 |               199578               199344               199526
     910 |               199748               199751               200051
     911 |               200387               200561               200495
     912 |               200860               200704               200872
     913 |               201287               201377               201281
     914 |               201803               201652               201664
     915 |               202232               202106               202668
     916 |               202557               202509               202664
     917 |               202796               203216               202980
     918 |               203425               203578               203429
     919 |               203852               203660               203944
     920 |               204171               204654               204200
     921 |               204719               204553               204715
     922 |               205346               205041               205546
     923 |               205501               205615               205639
     924 |               206234               205999               206088
     925 |               206477               206645               206235
     926 |               207023               206843               207037
     927 |               207673               207571               207175
     928 |               208018               208121               208040
     929 |               208624               208080               208306
     930 |               209015               208622               208748
     931 |               209209               209487               209171
     932 |               209578               209857               210013
     933 |               210085               210141               210389
     934 |               210412               210605               210623
     935 |               211031               210851               210893
     936 |               211441               211781               211452
     937 |               212078               211850               212030
     938 |               212674               212600               212452
     939 |               212998               212676               213048
     940 |               213654               213760               213417
     941 |               213658               213784               213976
     942 |               214308               214443               214668
     943 |               214858               214774               214706
     944 |               215442               215461               215031
     945 |               215663               215457               215667
     946 |               216086               216376               216087
     947 |               216883               216669               216613
     948 |               217114               216967               217072
     949 |               217242               217316               217756
     950 |               218190               218044               217792
     951 |               218368               218440               218454
     952 |               219152               218902               218999
     953 |               219616               218946               219586
     954 |               219777               219666               219814
     955 |               220379               220153               220313
     956 |               220799               220684               220782
     957 |               221254               221510               221504
     958 |               222062               221857               221745
     959 |               222208               222244               222442
     960 |               223078               222916               222653
     961 |               223135               223063               223319
     962 |               223643               223912               223836
     963 |               224294               224012               224114
     964 |               224840               224444               224390
     965 |               225070               224868               225282
     966 |               225689               225624               225385
     967 |               225725               226099               226165
     968 |               226774               226352               226588
     969 |               226914               226876               226736
     970 |               227435               227091               227432
     971 |               228127               227865               228101
     972 |               228368               228166               228287
     973 |               228927               228821               228975
     974 |               229180               229061               229445
     975 |               230070               229942               229538
     976 |               230117               230338               230345
     977 |               230821               230981               230603
     978 |               230996               231184               231139
     979 |               231785               231521               231713
     980 |               232174               231592               232222
     981 |               232445               232501               232671
     982 |               232866               232832               233122
     983 |               233739               233441               233371
     984 |               234209               234345               234313
     985 |               234447               234179               234633
     986 |               235182               235223               235077
     987 |               235352               235698               235290
     988 |               236200               235994               236201
     989 |               236693               236337               236401
     990 |               237024               236886               236808
     991 |               237415               237545               237725
     992 |               237805               237672               237887
     993 |               238479               238257               238105
     994 |               238766               238900               238940
     995 |               239332               239214               239490
     996 |               239902               239966               240184
     997 |               240484               240434               240282
     998 |               240849               240786               240922
     999 |               241059               241277               241511
    1000 |               242036               241683               241858
    1001 |               241991               242235               242557
    1002 |               242947               242875               242973
    1003 |               243409               243151               242949
    1004 |               243865               243632               243767
    1005 |               244028               243994               243940
    1006 |               244561               245192               244747
    1007 |               245052               245288               245824
    1008 |               245537               245722               245794
    1009 |               246141               246113               246329
    1010 |               246628               246601               246518
    1011 |               246928               247136               247290
    1012 |               247538               247805               247836
    1013 |               248144               248104               248222
    1014 |               248626               248895               248673
    1015 |               248931               249271               249001
    1016 |               249636               249858               249843
    1017 |               250217               250109               250597
    1018 |               250978               250827               250634
    1019 |               251316               251472               251050
    1020 |               251872               251458               251447
    1021 |               251873               251887               252165
    1022 |               253011               252535               252844
    1023 |               253186               253118               253024
    1024 |               253647               253792               253705
    1025 |               254120               254658               253954
    1026 |               254775               254942               254955
    1027 |               255553               255051               255399
    1028 |               255691               255394               256068
    1029 |               256313               256197               256281
    1030 |               256777               256404               256841
    1031 |               257363               257419               257153
    1032 |               257851               257283               257825
    1033 |               258116               258168               258190
    1034 |               258917               258553               258529
    1035 |               259258               259398               259318
    1036 |               259672               259474               259504
    1037 |               260169               260315               260343
    1038 |               260831               260739               261115
    1039 |               261453               261429               261391
    1040 |               261936               261531               261872
    1041 |               262296               261930               262478
    1042 |               262724               262420               262643
    1043 |               262978               262706               263302
    1044 |               263657               264117               263516
    1045 |               264369               264133               264157
    1046 |               264901               264984               265045
    1047 |               265293               265367               265515
    1048 |               265720               265804               265777
    1049 |               265968               266298               266040
    1050 |               266693               266656               266838
    1051 |               267318               267366               267666
    1052 |               267843               267774               267966
    1053 |               268194               267846               268086
    1054 |               268936               269260               269007
    1055 |               269392               269362               269526
    1056 |               269721               270207               270055
    1057 |               270038               270342               270512
    1058 |               271172               270597               271156
    1059 |               271437               271519               271551
    1060 |               271902               271734               271839
    1061 |               272838               272260               272872
    1062 |               272612               273120               273100
    1063 |               273983               273649               273633
    1064 |               273718               273804               273966
    1065 |               274539               274309               274889
    1066 |               274999               275186               275246
    1067 |               275332               275368               275580
    1068 |               276296               275977               276240
    1069 |               276767               276153               276177
    1070 |               277160               276985               277312
    1071 |               277830               277476               277950
    1072 |               278167               277805               278204
    1073 |               278463               278153               279073
    1074 |               279184               279005               279036
    1075 |               280033               279677               279599
    1076 |               280217               280156               280122
    1077 |               280952               280846               281028
    1078 |               281479               281124               281091
    1079 |               281926               281944               282094
    1080 |               281968               282249               282511
    1081 |               283145               282843               283067
    1082 |               283514               283375               283091
    1083 |               283634               284010               283752
    1084 |               284682               284770               284230
    1085 |               284978               285132               285084
    1086 |               285609               285566               285431
    1087 |               286015               285903               286081
    1088 |               286293               286730               286713
    1089 |               287487               286937               287263
    1090 |               287596               287409               287678
    1091 |               287995               288223               287755
    1092 |               288735               288768               289014
    1093 |               289222               289226               289698
    1094 |               290064               290032               289694
    1095 |               290183               290151               290223
    1096 |               291001               290951               291031
    1097 |               291214               291312               291468
    1098 |               292010               292208               292069
    1099 |               292878               292088               292746
    1100 |               292953               292871               292857
    1101 |               293788               293710               293580
    1102 |               293967               293839               293814
    1103 |               294914               294668               294674
    1104 |               295086               295383               295355
    1105 |               295888               295790               295924
    1106 |               296188               296366               296331
    1107 |               296785               296957               296991
    1108 |               296872               297659               297277
    1109 |               298455               297525               297865
    1110 |               298594               298602               298353
    1111 |               299262               299334               299364
    1112 |               299462               299472               299770
    1113 |               299946               300028               300174
    1114 |               300712               301036               300342
    1115 |               301128               300992               301390
    1116 |               302158               301454               301861
    1117 |               302219               302291               302213
    1118 |               302880               302841               302791
    1119 |               303611               303331               303839
    1120 |               304103               304069               303828
    1121 |               304659               304219               304433
    1122 |               304846               305073               304831
    1123 |               305730               305252               305798
    1124 |               306568               306535               306246
    1125 |               307005               306575               306811
    1126 |               306896               307320               307232
    1127 |               307361               308015               307705
    1128 |               308070               308434               308217
    1129 |               308985               309121               308645
    1130 |               309129               309328               309541
    1131 |               310122               309890               310210
    1132 |               310269               310837               310438
    1133 |               311300               310924               311066
    1134 |               311637               311497               311774
    1135 |               312032               312232               312642
    1136 |               312585               312631               313024
    1137 |               313348               313326               313250
    1138 |               314003               313405               313768
    1139 |               314416               314432               314346
    1140 |               314879               314714               315155
    1141 |               315491               315665               315507
    1142 |               315810               315730               316130
    1143 |               316653               316867               316939
    1144 |               317061               317145               317157
    1145 |               317862               317980               317656
    1146 |               318504               318064               318313
    1147 |               319153               318931               318771
    1148 |               319188               319695               319625
    1149 |               319852               320266               320302
    1150 |               320394               320088               320490
    1151 |               321235               320869               321221
    1152 |               321497               321502               321669
    1153 |               322262               321834               322118
    1154 |               322784               322617               322590
    1155 |               323427               323557               323417
    1156 |               324106               323965               324072
    1157 |               324543               324559               324509
    1158 |               324622               325058               325185
    1159 |               325450               325688               325570
    1160 |               326092               326355               325966
    1161 |               326706               326534               326690
    1162 |               327535               327343               327315
    1163 |               327722               328044               327808
    1164 |               328769               328569               328252
    1165 |               329042               328850               329324
    1166 |               329678               329554               329547
    1167 |               330264               330096               329894
    1168 |               330533               330919               330662
    1169 |               332006               331314               331084
    1170 |               331902               331937               331870
    1171 |               332387               332447               332611
    1172 |               333132               332909               333328
    1173 |               333390               333002               333722
    1174 |               334448               334144               333847
    1175 |               335038               334740               334426
    1176 |               335242               335384               335593
    1177 |               336210               336092               336252
    1178 |               336511               336804               336541
    1179 |               336609               336791               336983
    1180 |               337414               337815               337767
    1181 |               338172               338040               337746
    1182 |               338325               339068               338885
    1183 |               339477               339437               339219
    1184 |               340113               339836               339862
    1185 |               340689               340465               340361
    1186 |               341141               341124               340878
    1187 |               342218               341764               341904
    1188 |               342282               342142               342738
    1189 |               342962               342828               343106
    1190 |               343203               343463               343439
    1191 |               343848               343702               344200
    1192 |               344677               344796               344542
    1193 |               345078               345320               344914
    1194 |               345798               345613               345756
    1195 |               346482               346376               346710
    1196 |               346920               346718               346600
    1197 |               347653               347393               347677
    1198 |               348385               347990               348044
    1199 |               348501               348419               349041
    1200 |               348964               349335               349377
    1201 |               349877               350173               349827
    1202 |               350586               349943               350460
    1203 |               351430               351318               351502
    1204 |               351067               351398               351888
    1205 |               352169               352203               352799
    1206 |               353313               352846               352765
    1207 |               353228               353558               353360
    1208 |               354210               353963               353947
    1209 |               354498               353922               354378
    1210 |               355336               355190               355519
    1211 |               356109               355357               355625
    1212 |               356305               356276               356262
    1213 |               356761               356973               357191
    1214 |               357341               357515               357889
    1215 |               358031               358199               357837
    1216 |               358998               358672               358711
    1217 |               359141               358919               359457
    1218 |               360055               359715               360622
    1219 |               360429               360459               360735
    1220 |               360821               361221               361355
    1221 |               362019               361727               361691
    1222 |               362412               361999               362005
    1223 |               363185               363351               363003
    1224 |               363492               363516               363024
    1225 |               364083               363973               364015
    1226 |               364926               364577               364673
    1227 |               365387               365527               365229
    1228 |               365478               365719               365887
    1229 |               366312               366722               366780
    1230 |               366656               367205               366947
    1231 |               367585               368055               367583
    1232 |               368533               368030               368532
    1233 |               368731               369039               369037
    1234 |               369268               369406               369421
    1235 |               370294               369992               370628
    1236 |               370434               370734               370544
    1237 |               371376               371200               371380
    1238 |               371935               372356               372060
    1239 |               372520               372438               372716
    1240 |               372995               373046               373010
    1241 |               373407               373895               373297
    1242 |               374326               374094               374196
    1243 |               374443               374739               374873
    1244 |               375911               375752               375942
    1245 |               375876               376328               376424
    1246 |               376961               376742               376598
    1247 |               377569               377081               377539
    1248 |               377849               377957               377931
    1249 |               378132               378600               378538
    1250 |               379468               379653               378800
    1251 |               380332               379898               379950
    1252 |               380141               380594               380427
    1253 |               381273               380887               381011
    1254 |               381299               381740               381799
    1255 |               382405               382101               382733
    1256 |               382877               382884               382491
    1257 |               383429               383483               383231
    1258 |               384201               383964               384292
    1259 |               384606               384836               384874
    1260 |               385725               385446               385678
    1261 |               385616               385932               385732
    1262 |               385994               386755               386740
    1263 |               386937               387005               387133
    1264 |               388164               387807               388159
    1265 |               388456               388594               388582
    1266 |               389487               389021               388964
    1267 |               389474               389440               389078
    1268 |               390471               390268               390865
    1269 |               390621               390695               391043
    1270 |               391721               390957               391189
    1271 |               392284               392334               392332
    1272 |               393180               392882               392609
    1273 |               393615               393257               392985
    1274 |               394051               394033               393966
    1275 |               394887               395147               394615
    1276 |               395623               395091               395389
    1277 |               396019               396139               396037
    1278 |               396516               396798               396727
    1279 |               396997               397639               396483
    1280 |               397715               397672               397552
    1281 |               398142               398718               398642
    1282 |               399230               398639               398814
    1283 |               399870               399592               399544
    1284 |               400569               400497               400695
    1285 |               400489               400763               400891
    1286 |               401378               401585               401768
    1287 |               402515               402079               402477
    1288 |               402768               402928               402266
    1289 |               403768               403526               404012
    1290 |               404300               404276               403976
    1291 |               404780               404770               404600
    1292 |               404833               405138               405196
    1293 |               405918               406038               405696
    1294 |               406460               406375               406438
    1295 |               407442               406938               407196
    1296 |               408172               408109               408237
    1297 |               408574               408420               408528
    1298 |               408901               409108               408835
    1299 |               410354               409244               409820
    1300 |               410208               410344               410759
    1301 |               411282               411302               411570
    1302 |               411950               411667               411867
    1303 |               412059               412373               411921
    1304 |               412818               413267               412607
    1305 |               413451               413865               413357
    1306 |               414331               414060               414417
    1307 |               415208               414822               415140
    1308 |               415351               415241               415982
    1309 |               416328               416092               416102
    1310 |               416342               417088               416822
    1311 |               417434               417416               417144
    1312 |               417982               417638               417861
    1313 |               419256               418584               418672
    1314 |               419232               419191               419298
    1315 |               419991               419809               420459
    1316 |               420685               420493               420173
    1317 |               420976               421148               421210
    1318 |               421821               422276               422223
    1319 |               422674               422810               422810
    1320 |               423109               423261               423176
    1321 |               423824               423996               424208
    1322 |               424790               424497               424430
    1323 |               425110               424988               424772
    1324 |               426011               425834               426030
    1325 |               426219               426331               426863
    1326 |               427002               426759               427530
    1327 |               427655               427797               427901
    1328 |               428555               428538               428465
    1329 |               429326               428600               428992
    1330 |               429638               429344               429823
    1331 |               430448               430452               430790
    1332 |               431229               430728               431591
    1333 |               432050               431958               431916
    1334 |               432469               432423               432376
    1335 |               433313               432879               432549
    1336 |               433348               433473               433566
    1337 |               434197               434253               434353
    1338 |               434911               435360               434499
    1339 |               435257               435575               435955
    1340 |               436760               436485               435866
    1341 |               437168               437064               437286
    1342 |               437228               437294               437771
    1343 |               438097               438255               437827
    1344 |               438735               439094               438965
    1345 |               439981               439293               439465
    1346 |               440619               440036               440178
    1347 |               441119               441195               441049
    1348 |               442230               441591               441396
    1349 |               442080               442224               442234
    1350 |               443110               443465               442641
    1351 |               443518               443292               443736
    1352 |               444541               444269               443684
    1353 |               444919               445127               445203
    1354 |               445577               445675               445260
    1355 |               446389               446311               446031
    1356 |               446798               446874               447315
    1357 |               447508               447728               447674
    1358 |               448515               447925               448342
    1359 |               448356               448792               448772
    1360 |               449003               449771               449584
    1361 |               450081               449779               450169
    1362 |               450667               450205               450962
    1363 |               451155               450699               451651
    1364 |               452431               451995               452073
    1365 |               453110               452616               452806
    1366 |               453487               453302               453805
    1367 |               454473               454121               454207
    1368 |               454474               454586               454944
    1369 |               455544               455136               455596
    1370 |               455784               456501               456011
    1371 |               456554               456956               456714
    1372 |               457709               457439               457399
    1373 |               458267               458317               458417
    1374 |               458789               458654               458842
    1375 |               459307               459777               459373
    1376 |               460173               459997               460463
    1377 |               460527               460881               460795
    1378 |               461078               461306               461785
    1379 |               462182               462350               462194
    1380 |               462938               462918               462735
    1381 |               463635               463589               463939
    1382 |               464494               464068               464425
    1383 |               464898               464718               465212
    1384 |               465417               465097               465385
    1385 |               466341               466771               465905
    1386 |               467000               467028               467265
    1387 |               467311               468299               467557
    1388 |               468481               468113               468063
    1389 |               469201               469359               468937
    1390 |               469787               469666               469392
    1391 |               470344               470778               470332
    1392 |               471158               470967               470905
    1393 |               471858               471748               471758
    1394 |               471926               472062               472158
    1395 |               472980               473106               473308
    1396 |               473497               473874               473602
    1397 |               474348               474834               474272
    1398 |               475510               475377               475070
    1399 |               476010               475984               475662
    1400 |               476496               476221               476542
    1401 |               476912               477150               477560
    1402 |               477887               478020               477933
    1403 |               478793               478129               478733
    1404 |               479294               479115               479475
    1405 |               480158               479888               480154
    1406 |               480886               480309               480435
    1407 |               481267               481305               481461
    1408 |               481511               482290               482146
    1409 |               482919               482645               483149
    1410 |               483270               483198               483689
    1411 |               484336               484404               484378
    1412 |               484643               484852               484791
    1413 |               485106               485126               485320
    1414 |               485846               485962               486058
    1415 |               486737               486865               486821
    1416 |               487233               487443               487567
    1417 |               488957               488199               487725
    1418 |               489052               488771               488736
    1419 |               489642               489580               490166
    1420 |               490272               490227               490044
    1421 |               491274               491076               490468
    1422 |               491569               492079               491733
    1423 |               492395               492199               492541
    1424 |               492828               493238               493185
    1425 |               493255               493651               494329
    1426 |               494267               494326               494426
    1427 |               494982               495072               495208
    1428 |               495602               495776               495997
    1429 |               496022               496904               496800
    1430 |               497233               497239               497215
    1431 |               497678               498126               497990
    1432 |               498647               498345               498647
    1433 |               499521               499223               499495
    1434 |               499976               500181               500442
    1435 |               500837               500517               500795
    1436 |               501371               501421               501167
    1437 |               502033               502895               502551
    1438 |               503170               502911               502563
    1439 |               503246               503170               503554
    1440 |               504235               504068               503670
    1441 |               505173               504585               505283
    1442 |               505688               505549               505897
    1443 |               506605               506439               506391
    1444 |               507165               507076               507200
    1445 |               507655               508019               508065
    1446 |               508373               508637               508510
    1447 |               509179               509191               509303
    1448 |               510061               509936               509600
    1449 |               510857               510283               511365
    1450 |               511288               511521               511777
    1451 |               512075               511489               512487
    1452 |               513251               512832               512517
    1453 |               513628               513788               513738
    1454 |               513598               514122               514304
    1455 |               514502               514578               514738
    1456 |               516001               514886               515479
    1457 |               516516               516798               515982
    1458 |               516911               516789               517555
    1459 |               517870               518216               517920
    1460 |               518144               519008               518737
    1461 |               518975               519343               519265
    1462 |               520041               519724               519924
    1463 |               521001               520733               520843
    1464 |               521147               521359               521351
    1465 |               522158               522228               522222
    1466 |               523025               522277               522519
    1467 |               524110               523360               523480
    1468 |               524382               524550               525034
    1469 |               524933               524927               525083
    1470 |               525148               525728               525142
    1471 |               526479               526821               526959
    1472 |               527388               526839               527424
    1473 |               527920               527640               528092
    1474 |               528464               527904               528383
    1475 |               529421               529075               528941
    1476 |               530177               530263               529639
    1477 |               531103               530611               530737
    1478 |               530999               531784               531441
    1479 |               532184               532118               531442
    1480 |               532831               532659               533028
    1481 |               533235               533299               533515
    1482 |               534023               534420               534168
    1483 |               535562               535124               534958
    1484 |               536170               535420               535895
    1485 |               536636               536770               536386
    1486 |               537093               537113               537004
    1487 |               538173               538153               537835
    1488 |               539235               538972               539297
    1489 |               539611               539493               539401
    1490 |               540132               540708               540230
    1491 |               540903               540799               540957
    1492 |               541285               541158               542038
    1493 |               542659               542247               542107
    1494 |               542586               542897               543002
    1495 |               543774               543612               543692
    1496 |               545103               544964               544849
    1497 |               545370               545338               545812
    1498 |               546065               546230               546320
    1499 |               546781               546947               546653
    1500 |               547411               547633               547892
    1501 |               548313               548221               548605
    1502 |               549180               548650               549285
    1503 |               549788               549682               550380
    1504 |               550220               550036               550877
    1505 |               551321               550991               551847
    1506 |               552535               551926               552024
    1507 |               552664               552532               552456
    1508 |               553539               553141               553877
    1509 |               554582               554068               553952
    1510 |               554876               554895               554845
    1511 |               555355               555271               556063
    1512 |               556510               556546               556494
    1513 |               557354               557554               557458
    1514 |               558033               557733               558066
    1515 |               558091               558699               558653
    1516 |               559050               559302               559230
    1517 |               560051               560099               560285
    1518 |               560931               561186               561315
    1519 |               561808               561364               561742
