Vertices,BBC,Gr,GrLE,GrL,GrSD,
1,1.0,1.0,1.0,1.0,1.0,
2,1.0,1.0,1.0,1.0,1.0,
3,1.0,1.0,1.0,1.0,1.0,
4,1.0,1.1966666666666668,0.9566666666666669,0.9566666666666669,1.0566666666666669,
5,1.0,1.14,1.06,1.03,1.14,
6,1.0,1.1798333333333333,0.9639999999999997,0.9579999999999997,1.0603333333333331,
7,1.0,1.1119603174603174,1.0116031746031746,0.9798888888888888,1.0786746031746033,
8,1.0,1.0912211399711402,0.9653914141414139,0.9543358585858581,1.0372334054834056,
9,1.0,1.0577922077922077,0.9820895770895767,0.9530588300588296,0.9921008436008434,
10,1.0,1.0641648465913172,0.9631325194413433,0.9567999353587588,1.0064258396831927,
11,1.0,1.0173520017470752,0.952755004489087,0.9399586877167637,0.956717281690057,
12,1.0,1.0177705199582807,0.9226091868006155,0.9269876542142089,0.9540700373707668,
13,1.0,1.0215478914791136,0.9568765345501851,0.9379772897281513,0.9474702402004127,
14,1.0,1.0126979417337776,0.92030638143709,0.9249465804436823,0.9594742365888235,
15,1.0,1.0098875315565663,0.9481351521198756,0.9158251443183141,0.9395366382295126,
16,1.0,1.0185901847449161,0.9257788986124654,0.9118504442612267,0.9257729559065269,
17,1.0,0.980630178135514,0.927750042031819,0.9129136713398132,0.9303065915448839,
18,1.0,0.9923497707939566,0.9188745315527916,0.9102872177685959,0.9283608890168449,
19,1.0,0.9663844097818113,0.9041186500257679,0.8953146578825562,0.9025327526978573,
20,1.0,0.9712019203025214,0.9000379691537508,0.8945348831734328,0.9067481672017685,
21,1.0,0.9635757484556615,0.9137974678065224,0.9075803461249081,0.903562731891017,
22,1.0,0.9694423525946689,0.8896780507832913,0.89826799658927,0.8948126201631319,
23,1.0,0.9567314570686662,0.9000361335141441,0.8894710184971892,0.895100804053073,
24,1.0,0.9620862456666235,0.879438692055417,0.8781069523275229,0.8843911058396149,
25,1.0,0.9485193648482643,0.8868677830429417,0.8810669034175256,0.8833658698137146,
26,1.0,0.945179182798852,0.856330665401153,0.8576340933816308,0.867317419281847,
27,1.0,0.94687683834181,0.8782849992891655,0.8718975600239331,0.8740442563314273,
28,1.0,0.9390145307304764,0.8649736790544026,0.8611963144814943,0.8768800880988887,
29,1.0,0.9457811660367463,0.8739463521715786,0.8680328622002506,0.864392703571557,
30,1.0,0.948753839926139,0.8712961510740683,0.8677910498311187,0.8735559098595703,
31,1.0,0.936175391419126,0.8672927044687359,0.8537085979786144,0.8603738330875873,
32,1.0,0.9526380473923237,0.8658524433402291,0.8531394671083481,0.8686623441679039,
33,1.0,0.9384705823683679,0.8658615803291059,0.8551970288306175,0.8552050036038242,
34,1.0,0.9427737246593689,0.8620609807454939,0.8455778395087552,0.8626839058138386,
35,1.0,0.9226168742386851,0.8505287018968544,0.8452743111240842,0.8616121943625287,
36,1.0,0.931019070479162,0.8400971425209905,0.8344118660088817,0.8502487704496419,
37,1.0,0.9373000453697738,0.860550945131353,0.8396365214061257,0.852881324798057,
38,1.0,0.9325813862372847,0.8475475222942438,0.8409723110927665,0.8559351806716995,
39,1.0,0.9194488595999204,0.8409631841448524,0.8274482840364858,0.8432420821128787,
40,1.0,0.9249728722035272,0.8402814618198914,0.8321992457529636,0.8457869771186501,
41,1.0,0.9194544435432115,0.8342459972813495,0.8230344283169919,0.8367253515044082,
42,1.0,0.9145917992091591,0.821861553633664,0.8155577542101531,0.8425204141815889,
43,1.0,0.9234452678886546,0.8345165354555542,0.8302847684486865,0.8441168050062633,
44,1.0,0.9042324586776987,0.8232184451641867,0.8205686898528316,0.8299288750772129,
45,1.0,0.9218977297133983,0.8284030499943705,0.817469356208623,0.8398352752984796,
46,1.0,0.9152861005767616,0.8258992604335808,0.8221922602534625,0.8343570177452733,
47,1.0,0.9097271490694674,0.825394523931198,0.8154541118120611,0.8330096755956672,
48,1.0,0.9145387262966105,0.8202545674580685,0.8200562611617411,0.8360553521390891,
49,1.0,0.9195408072940516,0.8221649080819416,0.8137999052117059,0.8378078191886211,
50,1.0,0.9110779177834931,0.8165278309115223,0.8151244444963902,0.831002986384054,
51,1.0,0.9010150430601115,0.8130047314277945,0.802432754369703,0.8198151558897614,
52,1.0,0.9000145519282957,0.8102093212408851,0.8113360818042653,0.8301919092959805,
53,1.0,0.918836879062839,0.8200886348696085,0.8101514947896545,0.8255962154773573,
54,1.0,0.9095423691527174,0.8081030523446373,0.8093024832069348,0.8277749862209687,
55,1.0,0.8929664021118836,0.808866317868285,0.8033206643588795,0.8257950419093713,
56,1.0,0.8933196300984341,0.8106819930066079,0.8091081365339206,0.823966383048086,
57,1.0,0.904910321402894,0.8037031543296511,0.7974838015604934,0.8221179324925723,
58,1.0,0.8971959794172351,0.8046477292048344,0.8028101223672276,0.815328474171251,
59,1.0,0.888930455369232,0.8030707318982597,0.8003667725853749,0.8236857254876964,
60,1.0,0.8988819414781366,0.8033956272190609,0.7997599925146507,0.8238803415151321,
61,1.0,0.8986362744720232,0.7941013982396815,0.794126429528793,0.8090797169223731,
62,1.0,0.8952475238364395,0.8050828620050794,0.7975569654791851,0.8139985467552286,
63,1.0,0.8900978898816092,0.8029733259205669,0.7969327013542543,0.8172884229691862,
64,1.0,0.8874780709205283,0.797679512700975,0.7915838903206049,0.8133797757421454,
65,1.0,0.8813027769210489,0.8020217210068591,0.7938771311217246,0.8129150378290203,
66,1.0,0.9001445777593957,0.793405370210012,0.793405370210012,0.8074591457971746,
67,1.0,0.8838106543836958,0.7923576787615833,0.7894723006547614,0.8083031069747141,
68,1.0,0.8940469760051255,0.7961794178715342,0.7943858306971855,0.8053447247505552,
69,1.0,0.8784921345558933,0.7925498890486763,0.7881133233223713,0.8040742273771957,
70,1.0,0.8890654671456937,0.7919803290105669,0.7919803290105669,0.8078302964349626,
71,1.0,0.8852231823354525,0.7950993749152514,0.788897899676751,0.8014673305275187,
72,1.0,0.8818328198353569,0.787334332635442,0.7837598593947023,0.7977604397950157,
73,1.0,0.876737953559823,0.7889637577844358,0.7862774188597592,0.7995138136135997,
74,1.0,0.8958085829228782,0.7879171164482195,0.7877901347383233,0.7992887540974106,
75,1.0,0.8865966222175659,0.79420455754688,0.7878846372632331,0.8010411069409408,
76,1.0,0.8799724037538122,0.7848303505494566,0.7830545020885253,0.8043884552487455,
77,1.0,0.8720871399108698,0.7890810032806946,0.785374365808601,0.8026928631362815,
78,1.0,0.8710498287717376,0.78172906913647,0.78172906913647,0.7980417240571461,
79,1.0,0.8910697289388313,0.7828126568602268,0.7828122981801694,0.797407870110109,
80,1.0,0.8717579496098604,0.7800871791733749,0.7800871791733749,0.8000047793905251,
81,1.0,0.8743641734677376,0.7837359759792518,0.7820704756293568,0.8012544715781962,
82,1.0,0.8695753182927402,0.779750853265435,0.779750853265435,0.7956066905076511,
83,1.0,0.8736402962562502,0.7808606194641493,0.7823812380208502,0.8040713936846332,
84,1.0,0.871431840384203,0.7841348968252507,0.7821362610817308,0.7997500352027842,
85,1.0,0.8598740112953331,0.7838060000717032,0.781630696168952,0.8025945355487926,
86,1.0,0.8615069848404449,0.7800379875378465,0.7800379875378465,0.7942386917094644,
87,1.0,0.857514239108255,0.7803223716246674,0.7784388635403952,0.7905760345571801,
88,1.0,0.8676026802904052,0.7784688689172947,0.7784688689172947,0.7989001554772877,
89,1.0,0.8614404373205073,0.7771003804683899,0.7771003804683899,0.7929508839335143,
90,1.0,0.8675639377197369,0.7740600630999535,0.7740600630999535,0.7918536929098257,
91,1.0,0.8658835032511181,0.7771895047731425,0.7771895047731425,0.7932344655376826,
92,1.0,0.8597928215509099,0.7774008928245503,0.7774008928245503,0.7926111742226658,
93,1.0,0.8631851297819877,0.7776247246389059,0.7730137165934978,0.7893108702884316,
94,1.0,0.8745454813361603,0.7710464170868699,0.7710464170868699,0.7980339532616081,
95,1.0,0.8631707070928843,0.7754401848665609,0.7734710152991815,0.7954874970797771,
96,1.0,0.8662419998654224,0.7741840155937936,0.7719664643589013,0.7925295765986831,
97,1.0,0.854020923979462,0.7728865176762014,0.7728865176762014,0.7904327637019091,
98,1.0,0.8523536862901971,0.7720048789496,0.7720048789496,0.7885608041370333,
99,1.0,0.8554163511930473,0.7740057719011395,0.7715791302701427,0.7892348150323849,
100,1.0,0.854248412926053,0.7732867118309166,0.7732867118309166,0.795349544137327,
