Vertices,BBC,Gr,GrLE,GrL,GrSD,
1,1.0,1.0,1.0,1.0,1.0,
2,1.0,1.0,1.0,1.0,1.0,
3,1.0,1.0,1.0,1.0,1.0,
4,1.0,1.0633333333333332,0.9933333333333333,0.9933333333333333,1.0133333333333332,
5,1.0,1.17,1.02,1.0,1.0,
6,1.0,1.1238333333333332,0.993,0.993,0.9963333333333333,
7,1.0,1.0866666666666667,1.0066666666666668,0.9966666666666667,1.0033333333333332,
8,1.0,1.1906666666666668,1.0,1.0,0.9966666666666667,
9,1.0,1.163077922077922,1.0106969696969696,0.9923636363636363,0.9996363636363637,
10,1.0,1.099482683982684,0.9830303030303031,0.9830303030303031,0.9830303030303031,
11,1.0,1.1457857142857142,0.9773809523809526,0.9773809523809526,0.9773809523809526,
12,1.0,1.1414455479161363,0.9960588235294118,0.9960588235294118,0.9960588235294118,
13,1.0,1.0819830659536542,0.9988235294117647,0.9988235294117647,0.9988235294117647,
14,1.0,1.0754998190663825,0.9921037151702785,0.9921037151702785,0.9921037151702785,
15,1.0,1.146456085624042,0.9880375939849624,0.9880375939849624,0.9880375939849624,
16,1.0,1.1430969233239057,0.9849707357859532,0.9849707357859532,0.9849707357859532,
17,1.0,1.0967261655650402,0.9697013776078994,0.9697013776078994,0.9740763776078993,
18,1.0,1.105146300444241,0.9762716497279343,0.9762716497279343,0.9762716497279343,
19,1.0,1.1128338448183985,0.9949806949806951,0.9949806949806951,0.9949806949806951,
20,1.0,1.0952082531301999,0.9632471193486549,0.9632471193486549,0.9632471193486549,
21,1.0,1.054396836787829,0.9760017458252753,0.9760017458252753,0.9760017458252753,
22,1.0,1.1343890716418523,0.9752688360216167,0.9752688360216167,0.9796874406727794,
23,1.0,1.1321644095475494,0.9641467597907115,0.9641467597907115,0.9679929136368653,
24,1.0,1.0312887967854008,0.9422448974762028,0.9422448974762028,0.9462833590146643,
25,1.0,1.0353882652235324,0.942624722177096,0.942624722177096,0.942624722177096,
26,1.0,1.0367615470353893,0.9709751839124385,0.9709751839124385,0.9709751839124385,
27,1.0,0.9915159555530777,0.929792369454954,0.929792369454954,0.9339303004894367,
28,1.0,0.9933304217868424,0.9434517827590402,0.9434517827590402,0.9434517827590402,
29,1.0,1.0588218120518398,0.943799828849263,0.943799828849263,0.943799828849263,
30,1.0,0.9690434337545938,0.8952198382435066,0.8952198382435066,0.8952198382435066,
31,1.0,0.9746378524439524,0.8860218099561453,0.8860218099561453,0.8860218099561453,
32,1.0,0.9912205821268768,0.9052510100346102,0.9052510100346102,0.9052510100346102,
33,1.0,0.9836140095019971,0.9008940493812819,0.9008940493812819,0.904644049381282,
34,1.0,0.961168385112551,0.9034493396475873,0.9034493396475873,0.9078155368306859,
35,1.0,0.9424809061699797,0.8813672168321603,0.8813672168321603,0.8813672168321603,
36,1.0,0.9762455334532504,0.8999434985344668,0.8999434985344668,0.8999434985344668,
37,1.0,0.9565984020122678,0.8744678633332366,0.8744678633332366,0.8811331694556854,
38,1.0,0.937842698968811,0.8789425224452593,0.8789425224452593,0.8789425224452593,
39,1.0,0.9263166908707413,0.8588650263860172,0.8588650263860172,0.8623601720170854,
40,1.0,0.9046471651883914,0.8593346938460718,0.8593346938460718,0.8619272864386645,
41,1.0,0.8734221126614341,0.8333720006885231,0.8333720006885231,0.8365024354711318,
42,1.0,0.914537787568371,0.8468720288664315,0.8468720288664315,0.8468720288664315,
43,1.0,0.9222041496905136,0.8594016594940206,0.8594016594940206,0.8594016594940206,
44,1.0,0.880256446474699,0.819498317466067,0.819498317466067,0.819498317466067,
45,1.0,0.872420530695851,0.8056948494470391,0.8056948494470391,0.8056948494470391,
46,1.0,0.9067438275796362,0.8355723452349586,0.8355723452349586,0.8383805644130408,
47,1.0,0.8650265629981321,0.819085983821913,0.819085983821913,0.819085983821913,
48,1.0,0.8600958217724066,0.8130443177811186,0.8130443177811186,0.8157831712843033,
49,1.0,0.8689825461241277,0.7874745510791817,0.7874745510791817,0.7874745510791817,
50,1.0,0.862582655334647,0.8137824790957984,0.8137824790957984,0.8160324790957983,
51,1.0,0.8602389192138095,0.8069881417772709,0.8069881417772709,0.8118119147249202,
52,1.0,0.8575953536402032,0.809890040792783,0.809890040792783,0.809890040792783,
53,1.0,0.83762545888178,0.7992003947902876,0.7992003947902876,0.7992003947902876,
54,1.0,0.8148854929322673,0.7842987343718306,0.7842987343718306,0.7871639029111565,
55,1.0,0.8176706031916295,0.7963019357093428,0.7963019357093428,0.8000364620525648,
56,1.0,0.8523110346356539,0.7965285860404999,0.7965285860404999,0.7965285860404999,
57,1.0,0.8218808501846706,0.7638480558923277,0.7638480558923277,0.7638480558923277,
58,1.0,0.7955987044640415,0.777539469318731,0.777539469318731,0.7794808612601228,
59,1.0,0.8101597284594569,0.7734518571957153,0.7734518571957153,0.7779462625003154,
60,1.0,0.7903923947305153,0.7598566642149506,0.7598566642149506,0.7618123837721461,
61,1.0,0.8081931854342469,0.7660699791257357,0.7660699791257357,0.7660699791257357,
62,1.0,0.7764166905964597,0.7548132612793367,0.7548132612793367,0.7548132612793367,
63,1.0,0.7923062967875104,0.7577108055644145,0.7577108055644145,0.7592450521397569,
64,1.0,0.7970810242615883,0.7639060374635466,0.7639060374635466,0.7639060374635466,
65,1.0,0.8012404680605196,0.7570707311660798,0.7570707311660798,0.7588390238490067,
66,1.0,0.7913768332776202,0.7551457414719512,0.7551457414719512,0.7551457414719512,
67,1.0,0.7772834057371645,0.7495777725392704,0.7495777725392704,0.7495777725392704,
68,1.0,0.7485491472343822,0.7307516023371105,0.7307516023371105,0.7330484221250961,
69,1.0,0.773341324440168,0.736550902342958,0.736550902342958,0.736550902342958,
70,1.0,0.7506978942859783,0.7217194403147933,0.7217194403147933,0.7232194403147933,
71,1.0,0.779332854944608,0.7487737474239705,0.7487737474239705,0.7504317785120534,
72,1.0,0.7561479202596888,0.7257908922076556,0.7257908922076556,0.7257908922076556,
73,1.0,0.7286089360665631,0.7098626301679686,0.7098626301679686,0.7152631847403028,
74,1.0,0.7495776462333547,0.7200663006694091,0.7200663006694091,0.7215011792566055,
75,1.0,0.7584808815173087,0.7388451051532036,0.7388451051532036,0.7388451051532036,
76,1.0,0.7482479812221529,0.7260746548586917,0.7260746548586917,0.7260746548586917,
77,1.0,0.7405852868079665,0.7238424266879072,0.7238424266879072,0.7251451086802444,
78,1.0,0.7412469441826651,0.7182269940208011,0.7182269940208011,0.7196826902233329,
79,1.0,0.7269646586765045,0.7135420047873676,0.7135420047873676,0.7165094071642776,
80,1.0,0.7600943694586039,0.7236853412039772,0.7236853412039772,0.7236853412039772,
81,1.0,0.7371075912039856,0.706522953562446,0.706522953562446,0.7081565076463311,
82,1.0,0.7167291292261893,0.695876393146456,0.695876393146456,0.7016514606540295,
83,1.0,0.72403242327422,0.7069541792148805,0.7069541792148805,0.7100034093168106,
84,1.0,0.7108597899819786,0.6897718977956486,0.6897718977956486,0.6927076015539391,
85,1.0,0.7466178023160114,0.7059180986818404,0.7059180986818404,0.709261079351437,
86,1.0,0.7267727066558111,0.7029261960303138,0.7029261960303138,0.7043135834177012,
87,1.0,0.7198862778019581,0.6946976259514834,0.6946976259514834,0.6969733094717471,
88,1.0,0.7297307778778717,0.6958644128923508,0.6958644128923508,0.6983505017560487,
89,1.0,0.7246975481445362,0.7022555294813043,0.7022555294813043,0.7037153834959028,
90,1.0,0.7175827339854587,0.6923539178813253,0.6923539178813253,0.6937212984414571,
91,1.0,0.7190647532775633,0.6951565024458243,0.6951565024458243,0.6987582432582035,
92,1.0,0.6960178755086075,0.6857992830094147,0.6857992830094147,0.6903668346837081,
93,1.0,0.713878952792778,0.6987807716209647,0.6987807716209647,0.7000194423158288,
94,1.0,0.7063378200359495,0.6833777410587656,0.6833777410587656,0.6846314283743997,
95,1.0,0.7107032560383516,0.6815277588827395,0.6815277588827395,0.6815277588827395,
96,1.0,0.6939228200103407,0.6784920102542419,0.6784920102542419,0.6784920102542419,
97,1.0,0.7012320851966822,0.6720387748597747,0.6720387748597747,0.6746410018202107,
98,1.0,0.6994644313913823,0.6754708815778839,0.6754708815778839,0.6767423101493125,
99,1.0,0.7098438978277283,0.6846882653227953,0.6846882653227953,0.6884653696085963,
100,1.0,0.693452299443876,0.6716827876478706,0.6716827876478706,0.6763387036200761,
