Vertexes,Gr,GrLE,GrSA,GrSD,
1,1.0,1.0,1.0,1.0,
2,1.0,1.0,1.0,1.0,
3,1.0,1.0,1.0,1.0,
4,2.0,1.0,2.0,2.0,
5,2.0,2.0,2.0,2.0,
6,1.6666666666666667,1.25,1.6666666666666667,1.25,
7,2.0,2.0,2.0,1.3333333333333333,
8,1.5,1.0,1.5714285714285714,1.4285714285714286,
9,2.142857142857143,2.142857142857143,2.0,1.4,
10,1.5,1.25,1.7,1.3333333333333333,
11,1.2666666666666666,1.2666666666666666,1.375,1.25,
12,1.4545454545454546,1.0952380952380953,2.0,1.5,
13,1.380952380952381,1.1904761904761905,1.4,1.434782608695652,
14,1.55,1.16,1.85,1.2142857142857142,
15,1.25,1.1818181818181819,1.64,1.1176470588235294,
16,1.4838709677419355,1.3428571428571427,1.4193548387096775,1.25,
17,1.2777777777777777,1.1428571428571428,1.4444444444444444,1.0476190476190477,
18,1.391304347826087,1.1702127659574468,1.434782608695652,1.1132075471698113,
19,1.3529411764705883,1.3529411764705883,1.2745098039215685,1.2181818181818183,
20,1.411764705882353,1.1129032258064515,1.4444444444444444,1.320754716981132,
