Vertexes,Gr,GrLE,GrSA,GrSD,
1,1.0,1.0,1.0,1.0,
2,1.0,1.0,1.0,1.0,
3,1.0,1.0,1.0,1.0,
4,2.0,1.0,2.0,2.0,
5,2.0,1.0,3.0,2.0,
6,2.0,1.25,2.5,1.6666666666666667,
7,2.3333333333333335,1.3333333333333333,1.5,3.0,
8,1.2857142857142858,1.1111111111111112,1.4285714285714286,1.2857142857142858,
9,1.6666666666666667,1.5,1.8571428571428572,1.5714285714285714,
10,1.25,1.25,1.5454545454545454,1.4166666666666667,
11,1.2666666666666666,1.25,1.4,1.4,
12,1.3333333333333333,1.3,1.3333333333333333,1.6111111111111112,
13,1.2727272727272727,1.2608695652173914,1.32,1.4,
14,1.2592592592592593,1.2592592592592593,1.3333333333333333,1.2142857142857142,
15,1.2424242424242424,1.2424242424242424,1.3225806451612903,1.25,
16,1.236842105263158,1.125,1.225,1.236842105263158,
17,1.2380952380952381,1.2380952380952381,1.3333333333333333,1.3333333333333333,
18,1.2307692307692308,1.0588235294117647,1.1666666666666667,1.1666666666666667,
19,1.206896551724138,1.1724137931034482,1.1666666666666667,1.1851851851851851,
20,1.21875,1.0746268656716418,1.1875,1.203125,
