Vertexes,Gr,GrLE,GrL,
1,1.0,1.0,1.0,
2,1.0,1.0,1.0,
3,1.0,1.0,1.0,
4,1.1300000000000003,0.9400000000000002,0.9400000000000002,
5,1.1733333333333333,1.0233333333333334,1.0133333333333334,
6,1.138,0.943333333333333,0.943333333333333,
7,1.0315714285714284,0.9917936507936504,0.9562936507936506,
8,1.0755844155844156,0.9517463924963923,0.9453953823953821,
9,1.048351925851926,0.9939960594960594,0.96408769008769,
10,1.034159927533766,0.937314959249557,0.924353643819201,
11,1.0226184883564409,0.9744263938152753,0.9291163680436462,
12,0.9915004565402965,0.8997545099069125,0.8865916038461408,
13,0.9758405015169744,0.9256528253598595,0.9015683315294535,
14,0.9721367575735962,0.9052385094358919,0.9022817029431742,
15,0.9885433671074851,0.9366272355102356,0.9089792632059758,
16,0.9818598055738532,0.9118266729772085,0.8997810488149055,
17,0.9676349414055254,0.9256470690221351,0.9112097089750314,
18,0.95722695138376,0.8895001199476924,0.8864694085047294,
19,0.9501538818545839,0.9095106112892098,0.8989554190695708,
20,0.9493937538159984,0.888820646868388,0.8843915676635025,
21,0.9540142698833219,0.9198814305143886,0.8990930970812517,
22,0.9483960154341154,0.8905149502539237,0.8883529592181083,
23,0.9461685409899232,0.9093942930773984,0.8900458936150025,
24,0.942343320726238,0.8946651854387333,0.8828178719951703,
25,0.9362659442317741,0.9066377519735508,0.8918466210426899,
26,0.9382170729198123,0.884563828909142,0.8818993378622231,
27,0.948545683544048,0.908638681053061,0.8922730980633802,
28,0.9454204462443648,0.8958204009489762,0.8848772036071881,
29,0.9417991428921819,0.9089841731342306,0.8901686921373339,
30,0.9373644002759621,0.8911758444718753,0.8848009064122582,
31,0.9379136974317794,0.9044273976689294,0.8885625635247864,
32,0.9431438591758291,0.8922008162343308,0.8882254493749655,
33,0.9360938590043021,0.9063047457907014,0.8928713104933017,
34,0.9342383614327068,0.8922253163312548,0.8841547231996222,
35,0.9414137969339127,0.9081769161978732,0.889650924614963,
36,0.938832648179527,0.8961779206113506,0.8860972812459584,
37,0.9315643885853815,0.8992095005699339,0.885433734895246,
38,0.9395400532344996,0.8947169790830632,0.8869863796909226,
39,0.9297841468339452,0.8997060537619284,0.8846119303618591,
40,0.9347477740064746,0.895582936980079,0.8876926089813416,
41,0.9290113485400109,0.9015533563756307,0.8883535776669456,
42,0.9345927293371638,0.8960925361485889,0.8855482387103341,
43,0.9349992078323069,0.9038102906132918,0.8925409839374672,
44,0.9339019193393507,0.8945328092696827,0.8887705682775942,
45,0.9259465296006106,0.898701496209702,0.8865588158668377,
