Vertexes,Gr,GrSD,GrSA,GrSTD,GrSTA,
1,1.0,1.0,1.0,1.0,1.0,
2,1.0,1.0,1.0,1.0,1.0,
3,1.0,1.0,1.0,1.0,1.0,
4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,
5,1.0,1.0,1.0,1.0,1.0,
6,0.8,0.8,0.8,0.8,0.8,
7,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.3333333333333333,
8,1.0,1.0,1.1428571428571428,1.0,1.1428571428571428,
9,1.0,0.8333333333333334,1.0,1.0,1.1666666666666667,
10,1.0666666666666667,0.9333333333333333,1.0666666666666667,1.0666666666666667,1.0666666666666667,
11,1.105263157894737,1.0,0.8947368421052632,1.0,1.0,
12,1.0,1.0416666666666667,0.9583333333333334,0.9583333333333334,1.0,
13,0.9310344827586207,1.0,1.0,1.0689655172413792,1.0689655172413792,
14,0.9705882352941176,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.8823529411764706,
15,0.9024390243902439,1.0,1.0975609756097562,0.9512195121951219,0.8536585365853658,
16,1.0,0.9761904761904762,1.0952380952380953,0.9761904761904762,1.0952380952380953,
17,0.96,1.08,1.08,1.08,1.08,
18,0.9322033898305084,1.0,0.9830508474576272,0.8983050847457628,0.9491525423728814,
19,0.9705882352941176,1.0,0.9705882352941176,0.9705882352941176,0.9705882352941176,
20,0.975,0.925,0.9125,0.9125,0.9375,
21,1.1012658227848102,0.9746835443037974,0.9746835443037974,0.9746835443037974,1.0506329113924051,
22,0.9247311827956989,0.989247311827957,0.9139784946236559,0.9354838709677419,1.032258064516129,
23,0.9626168224299065,0.8878504672897196,0.8878504672897196,0.9252336448598131,0.9065420560747663,
24,0.897196261682243,0.9345794392523364,1.074766355140187,0.9252336448598131,1.0,
25,0.9692307692307692,0.9384615384615385,0.9538461538461539,0.8769230769230769,0.9538461538461539,
26,0.8962962962962963,0.9037037037037037,0.9851851851851852,0.9185185185185185,1.0,
27,1.0277777777777777,0.9722222222222222,0.9583333333333334,0.9722222222222222,1.0416666666666667,
28,0.9308176100628931,0.9685534591194969,1.0,0.9748427672955975,0.9433962264150944,
29,0.9534883720930233,0.9767441860465116,0.9534883720930233,0.9069767441860465,1.0,
30,0.945054945054945,0.9725274725274725,0.945054945054945,1.021978021978022,0.9560439560439561,
31,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9014778325123153,0.9507389162561576,
32,0.9209302325581395,0.9348837209302325,0.9395348837209302,0.9162790697674419,0.9534883720930233,
33,0.973568281938326,0.9823788546255506,0.973568281938326,0.973568281938326,0.9559471365638766,
