Vertices,Gr,GrLE,GrL,
1,1.0,1.0,1.0,
2,1.0,1.0,1.0,
3,1.0,1.0,1.0,
4,1.0,0.891,0.891,
5,1.0,0.955166666666667,0.936166666666667,
6,1.0,0.8843499999999983,0.8810666666666648,
7,1.0,0.9540801587301576,0.9287087301587282,
8,1.0,0.9030855339105356,0.8980822510822527,
9,1.0,0.9499028221778226,0.9286885697635704,
10,1.0,0.9145997547258379,0.9102042714380558,
11,1.0,0.9505069026116806,0.928362185489689,
12,1.0,0.9265090557655374,0.9178932488098684,
13,1.0,0.9537810303967198,0.9308794408437617,
14,1.0,0.9279823304404923,0.919007964983987,
15,1.0,0.9592895475094609,0.9362445062053778,
16,1.0,0.9344309439830601,0.9254012935921874,
17,1.0,0.9561718856525084,0.9356357621072675,
18,1.0,0.9395002719689514,0.9298842703818729,
19,1.0,0.9608312714334667,0.9426578624195933,
20,1.0,0.9403240237625614,0.9332950676605337,
21,1.0,0.9589850812275106,0.9387015549963925,
22,1.0,0.9452605614625538,0.9344311531612942,
23,1.0,0.9612366779811667,0.9418652615634833,
24,1.0,0.9458934783734361,0.938218631239338,
25,1.0,0.9617197977355689,0.9438034508437015,
26,1.0,0.946190307737143,0.9387859853971033,
27,1.0,0.9611648358427857,0.9442832912119146,
28,1.0,0.9497162708146395,0.9423687236403281,
29,1.0,0.9638077970207124,0.9469297287703462,
30,1.0,0.9509782204376165,0.9448816365387455,
31,1.0,0.9659486086807159,0.9450813776442205,
32,1.0,0.9537757269720326,0.9469603604467093,
33,1.0,0.9652014266523028,0.948481350323951,
34,1.0,0.9536852853649745,0.9451483975684977,
35,1.0,0.9645815430977344,0.9507760016258558,
36,1.0,0.9545321661286715,0.9478945194275846,
37,1.0,0.9662646524254322,0.950774493434195,
38,1.0,0.956938390894212,0.9489067620008182,
39,1.0,0.9702211535128884,0.9543902072758687,
40,1.0,0.9580940834960019,0.9499446393432526,
41,1.0,0.9686339066747364,0.9533759346453302,
42,1.0,0.9568495244696359,0.9506741391610227,
43,1.0,0.9688633068959797,0.9530602547266446,
44,1.0,0.9593843365503877,0.9530736533854061,
45,1.0,0.9683378086450246,0.954972796153149,
46,1.0,0.9613001200999848,0.9542427559772202,
47,1.0,0.9697799651433635,0.9556593142317112,
48,1.0,0.9615718285755986,0.9541797602169346,
49,1.0,0.9694623052362631,0.9561285711083563,
50,1.0,0.9629791905697525,0.9554957421713557,
51,1.0,0.9705835445757997,0.9578196962821448,
52,1.0,0.9614120627507241,0.9546754438724685,
53,1.0,0.9705945768759616,0.9581305138970683,
54,1.0,0.9630318569492333,0.9565157740781612,
55,1.0,0.9713881219987621,0.9585761324190746,
56,1.0,0.9642356113797476,0.956929484912712,
57,1.0,0.9715961333616873,0.9588270812953816,
58,1.0,0.9653765133048652,0.9589001179935398,
59,1.0,0.9720931872158821,0.9597222290333539,
60,1.0,0.9660724713089529,0.9586511201206149,
61,1.0,0.9723103539654776,0.959765631935485,
62,1.0,0.965284017040119,0.958826049943477,
63,1.0,0.9729188958290913,0.960904436163405,
64,1.0,0.9662266691392338,0.9593216716366136,
65,1.0,0.9731175875202326,0.9612309575501076,
66,1.0,0.966559686057876,0.9604931568210824,
67,1.0,0.9729534792604132,0.961255569568023,
68,1.0,0.9680377866931313,0.9609590022296156,
69,1.0,0.9735308002666052,0.9627009514360476,
70,1.0,0.9679546497739601,0.9614654542596494,
71,1.0,0.9738281844887647,0.9625432094746286,
72,1.0,0.9688208456971585,0.9620499870885199,
73,1.0,0.9740012875119098,0.96330095133793,
74,1.0,0.9679337111483161,0.9619600194648777,
75,1.0,0.973881441518823,0.9627544626380227,
76,1.0,0.9685947725642453,0.9623330288290067,
77,1.0,0.9752219066694582,0.9645041300895777,
78,1.0,0.9696179153147879,0.9637305698536405,
79,1.0,0.9739381233843677,0.9639520270367359,
80,1.0,0.9701022273632541,0.963331851047354,
81,1.0,0.975651056275356,0.9655743323081271,
82,1.0,0.9696871715655351,0.9638235748499123,
83,1.0,0.9754719257159142,0.9650040219498899,
84,1.0,0.9705467890388225,0.9638848095430738,
85,1.0,0.975484045091658,0.9647259827844666,
86,1.0,0.9715435945706596,0.9658790713967476,
87,1.0,0.9762451181245904,0.9654287732942509,
88,1.0,0.9721432155376855,0.966347735827582,
89,1.0,0.9758932339993961,0.9664619577705467,
90,1.0,0.971042412774416,0.9652446527821607,
91,1.0,0.9767040700797911,0.966588839267534,
92,1.0,0.9718051226400977,0.9661283201532804,
93,1.0,0.9767943345396511,0.9672689826218044,
94,1.0,0.9725945388077577,0.9666027103748683,
95,1.0,0.9759211962959174,0.9665977070030504,
96,1.0,0.9726020191239664,0.9665259577690591,
97,1.0,0.9768125833699697,0.9671571769846514,
98,1.0,0.9724297144483955,0.9670687509095247,
99,1.0,0.9764645982397692,0.9677888145579301,
100,1.0,0.9731677030849871,0.9676815283213648,
